,1,0,time,comments_num
0,"圆圆圈圈圈圈圆圆练了8年还是唱不清这句话
",18857,5月2日 14:15,14836
1,"我记得在我很小很小的时候，影响很深刻，我在路边捡了一盘光碟，那张光碟有一个地方还裂开了一道口子，碟片还有点儿花。然后我抱着还能用的心态拿回家，用我家的VCD放，我搽干净光碟，视图能够放出来。结果真的放出来了。然后爱上了第一首jj的歌《江南》
",13209,2016年11月7日,14836
2,"版本很多！评论很多的是另外一个
",9956,2015年11月25日,14836
3,"昨天刷某站的视频，看到一条标题为“妻子车祸当场丧生，丈夫不愿独活走入燃烧的车里殉情”的视频，点进去看到那位老人直愣愣不带一丝犹豫的走进大火中，想起来一句歌词，“还以为殉情只是古老的传言”
",6102,6月23日 11:37,14836
4,"其实我蛮好奇一个男生真正爱上一个女生是怎么样子的.
",5712,5月24日 20:36,14836
5,"“你不如现实一点先把你的书读好”..
",5323,8月8日 19:41,14836
6,"小时候一直以为第一句是“风到这里就吃面”
",4054,6月28日 12:05,14836
7,"00后的青春也有林俊杰啊。
",2111,5月21日 12:44,14836
8,"风到这里为什么是粘，十五年了还没懂😳
",1949,8月9日 11:10,14836
9,"“187的身高，体重消瘦到只剩54公斤。……身上到处是伤，遭受过长时间的酷刑。……断了三小截手指和两根脚趾，左脚的脚筋断了。身上有多处骨折，但没有治疗，最后自动愈合的。 ”
“冉冉，我后悔了。下辈子，我还想做阿瓒。”
“英雄被人铭记，刻在石碑上；幸存者被人遗忘，面目全非。”
",1845,7月17日 14:49,14836
10,"南方湿气重
",1822,8月9日 13:14,14836
11,"下次遇到喜欢的人记得做朋友。
",1692,7月19日 15:45,14836
12,"一会儿就要上台唱这首了
",1500,10月2日 18:24,14836
13,"一直搞不懂圈圈圆圆圈圈是啥意思
",1485,9月26日 16:23,14836
14,"树是梧桐树 城是南京城 一句爱梧桐 种满南京城
",1357,9月19日 12:00,14836
