,1,0,time,comments_num
0,"有的人因为一次恋爱都没有谈过 所以才很难开始 想要把第一次恋爱给自己喜欢的人 但是越来越难 好像遇不到了
",11727,9月28日 00:07,14665
1,"如果回忆容易
我会想你念你
假装你在这里
如果可以作弊
我会想你念你
到最后的荼蘼
所以…你是友情还是错过的
爱情。
",8296,8月31日 00:19,14665
2,"有个老哥给这歌花了八千云贝推歌
",7709,8月28日 20:10,14665
3,"听听吧 我花三千云贝推的
",5340,10月6日 22:18,14665
4,"我把我的男孩子交给国家了，现在是一名天津武警。我们已经一个多月没有见面了。送他入伍的时候我剪了短发，剩下的日子我会留长我的头发，让等待的日子用青丝细数。虽然有时候我会在被窝翻看以前的照片哭到喘不过来气，虽然在操场上听着听着这首歌就默默流泪，但是我想等待一个值得等待的人是值得的。
",3150,10月17日 14:39,14665
5,"我遗憾的是我没拥有过任何一个男孩子的青春 而我接下来遇到的全是爱过别人的男孩.
",2453,10月5日 23:42,14665
6,"其实我觉得那个大哥应该挺难过的，把情感寄托在了歌里。
",2100,10月2日 14:30,14665
7,直觉是,1754,10月3日 15:38,14665
8,"表白不是为了确定关系，而是表达心意
",1551,10月12日 21:22,14665
9,"男孩子和男孩子的爱情，也能长久，希望我和他，能够走到最后❤️
",1324,10月12日 02:33,14665
10,"接到来自陌生号码的电话，刚接起电话那边先叫起我的名字说“你好吗”，听到久违熟悉的声音我还没开口眼泪已经要夺眶而出，我强忍着故作欢快地说“你看你突然的一通电话我的眼泪差点流出来了”，半晌，那边才小声地吐出几个字“可我已经哭了…”“……”
",1174,10月10日 11:03,14665
11,"身边的好友都在不停的恋爱分手恋爱，只有我母胎solo至今，说不羡慕是假的，但是真的出现的话又会忍不住后退，总感觉我还没碰到那个很喜欢的人
",1164,10月5日 01:57,14665
12,"人从悲哀中落落大方地走出来就是艺术家
",1075,9月9日 17:33,14665
13,"“后来理工大学的风也没有吹到传媒学院 我们的爱也保留在了大学时代”
",1042,10月22日 15:14,14665
14,"明天，恋爱五年半的我们要见家长啦！！
",979,10月14日 21:41,14665
