,1,0,time,comments_num
0,"在这快速又浮躁的现代城市里 往往有很多爱情最后结束是没有任何原因 没有理由的🏙
",23.5万,2018年4月9日,71877
1,"曾经以为在一起不需要任何理由，后来发现实在没有理由再在一起。
",18.3万,2018年4月9日,71877
2,"理由是在喜欢之后才产生的
",84286,2018年4月10日,71877
3,"没有理由，没有善始善终，没有等待也没有期盼，你我之间不谈亏欠，离开那天日常相拥下线，伤心绘成曲线，首尾相接这个句号满是欺骗
",62825,2018年9月7日,71877
4,"我以为你会回来！我以为我会去找你 ！我以为我跟你会有未来 ！我以为我跟你一直走下去 ，可现在我没有理由没有资格去继续爱你、再也没有理由去等你 Baby I’m sorry I’m so lonely !!!!祝你幸福。 早安 
",48858,2018年4月9日,71877
5,"我有一百个见你的理由，却少一个见你的身份
",36480,2018年4月9日,71877
6,"他们说两个人在一起久了会互相厌烦 我倒是很想和你在一起 让我知道烦透了你是什么感觉 然而 然而
",34079,2018年4月10日,71877
7,"进一步没资格 退一步舍不得没有身份过问你的生活吃个醋还名不正言不顺我们就这样了吧
",33122,2018年4月9日,71877
8,"感谢永彬Ryan.B，感谢独壹不贰，感谢所有幕后团队，感谢读懂这音乐的你们，赶紧分享，《没有理由》，就是好听！ 🤘🏻🎤❤️
",29664,2018年4月9日,71877
9,"爱情，再多理由，没有办法挽留。
爱情，再多理由，也会说停就停。 不去等待，只是没了继续等待的理由
不想离开，只是没有了不离开的理由 ————————————————
#🔥永彬Ryan.B 🔥没有理由不喜欢#
#🔥 独 壹 不 贰 🔥没有理由不支持#
",18761,2018年4月9日,71877
10,"對不起 我要掌控七情六慾 而不是被掌控
",16548,2018年4月9日,71877
11,"总觉得经过了兜兜转转后的平淡是场浪漫，却发现爱情暗淡的太快说散就散来不及判断。 ryan.b的演唱带有魔力，那种和词曲的契合感，仿佛一瞬间给人拉入构架的情景中。英子的音色又如穿插在指间的烟圈，浓郁的留下缓慢的消散。
",14786,2018年4月9日,71877
12,"没有任何理由 就是干
",13935,2018年4月9日,71877
13,"理由 理由 理由 理由
再多理由 无法挽留
爱情 爱情 爱情 爱情
再多理由 说停就停
Ryan.B一直谱写着动人的歌曲💥💯🔥
",11146,2018年4月9日,71877
14,"我没有理由不听这首歌
",10840,2018年4月9日,71877
