,1,0,time,comments_num
0,"紧赶慢赶总算是把《海底》的完整版给你们整出来了，要是不好听别骂我，毕竟是你们让我唱的，不好听哭着也得给我听完！（溜走）
",51894,5月4日 04:17,43919
1,"不嫁爸爸那样的男人
不做妈妈那样的女人
不养自己这样的儿女
",37368,5月12日 12:39,43919
2,"很多人不知道怎么听新版，清理一下缓存就可以啦，如果之前下载了就先删掉再清缓存，不用担心旧版本听不了，电台有～
",18543,6月1日 18:45,43919
3,"“长大真的很没意思，
连快乐都裹着一层苦。”
",12812,5月6日 11:15,43919
4,"怕遇到像爸爸这样的人
怕过上妈妈这样的生活
怕生个像我一样的孩子
",12649,5月20日 10:23,43919
5,"我奶奶每天都检查我的手腕“别走奶奶面前，算奶奶求你了”
",11921,6月11日 22:01,43919
6,"像鲸沉于海底温柔呼吸，痴极嗔极。 像等了多年的老城门，茕茕孑立。 像鲸鱼缺氧于六千四百米的深海，乐此不疲。 像臣民等待王朝复辟，遥遥无期。 柳动蝉鸣，日落潮汐，不能自己。 像云漂泊九万里，不曾歇息。 像太阳升起后的灿烂，不曾停歇。 像江河奔流到海不复还，夜以继日。
",8975,5月5日 17:41,43919
7,一看到歌词就让我想到了南康白起，那个夜晚他奋不顾身的就跳下了湘江，尸身漂了十五天，从长沙到岳阳。他写下《等他到三十五岁》但自己却没有等到那一天，忘不了他说的那句,7967,5月6日 14:32,43919
8,"现在歌手取名都这么随意了嘛？ 一支榴莲，三块木头，四只烤翅
",5375,8月1日 14:47,43919
9,"沉底大巴里的21位高考生，一路走好……
",4621,7月8日 07:28,43919
10,"一支榴莲其实是一直留恋啊…
",3584,8月4日 00:12,43919
11,"你应该穿个隐形肩带的
",2461,5月5日 08:51,43919
12,"我今年高一，但是我的好友却永远留在了初三。
她是那时我们班的班长。
高挑挑的个儿，成绩很好，长的好看，声音也好听，也爱笑，总看到她笑着跟我打招呼。
但是，在中考还有12天的时候，我却再也看不到她的笑容，也听不见她轻轻地叫我的名字了。
她呀，从5楼跳下来了，躺在地上，穿着校服，带着口罩。
",2325,10月2日 09:23,43919
13,"很奇怪 已经过去两天叻 仍然能在发梢闻到他的香水气
怎么也洗不掉特有的石榴花味道
不合时宜的问我
“如果早点遇到我，你会不会喜欢上我” 明知道浮水相逢
海浪清晰血迹，妄想温暖你
",2134,5月18日 11:18,43919
14,戴上耳机,1975,8月21日 19:16,43919
