,1,0,time,comments_num
0,"东京街头，一名男子抱着吉他，用日语自弹自唱经典老歌《海阔天空》，熟悉的旋律吸引了一个女孩驻足聆听。唱到间奏，女孩突然情不自禁地跟着唱起了粤语版。接着，令人意外的一幕出现了……弹唱的男子也迅速切换成粤语，和女孩一起唱！突如其来地听到乡音，女孩顿时眼泪下来了
",23512,2017年2月26日,19023
1,"我好羡慕你们七八十年代，九十年代的。那个时候有beyond、王杰、张宇、张国荣、徐小凤、四大天王、黄凯芹、梅艳芳、罗文、许冠杰、李克勤、甄妮、周华健、叶倩文、谭咏麟……哪像现在喊麦的高迪，流行歌曲的exo，更有韩国的权志龙。迷妹无数，在我眼中后者与前者毫无可比性。
",13206,2017年12月15日,19023
2,"这首歌堪称经典，竟然这么少人评论，读小学的时候就经常听到这些歌，但是那时候不知道是beyond的
",12024,2015年2月5日,19023
3,"在家父母鼓励！在校老师鼓励！在社会家驹鼓励！
",4105,2015年4月30日,19023
4,"高三最后一次班级大合唱唱这首歌班级会电吉他的男生会鼓的伴奏 歌曲里那几声喊声是班里那几个平时大嗓门的男生用力叫出来的 全班用尽全力的唱 据说当时整个大礼堂只有我们的歌声 所有人都惊呆了还有一些女生哭了 哈哈 高三那时候真的太多感动的故事 以为忘记了其实大一的现在还是能记得的很清
",3832,2015年6月10日,19023
5,"初三时流行磁带随身听，下了晚自习就一个人走在街上，听着这首歌，一个女生走过来问我一个人走路不寂寞吗？路灯照亮了她天真的眼神。觉得无趣的话题。没理她，继续一个人走路。十多年过去了，那个女生成为了我的妻子，下个月将成为我们孩子的母亲。
",2917,2017年11月22日,19023
6,"家驹是1993年6月30日去世的，1+9+9+3+6+3+0各个数字加起来刚好31，家驹去世的时候刚好31岁，31+31等于62，家驹也是62年出生的，'62+31等于93，家驹也是93去世的，真有那么巧吗？
",2540,2018年1月2日,19023
7,"评论少是因为同一首歌在很多张专辑里都有
",2385,2015年1月23日,19023
8,"没钱，只能听这版的了，这版的和收费的那版有什么区别吗，求告知
",2141,4月28日 11:14,19023
9,"以此为证，三年以后我要考上吉林大学，请在座的各位，痛饮一杯，车费我报销，酒店我报销，为报答各位当初的支持
",2004,10月13日 03:23,19023
10,致广大驹迷,1924,5月9日 11:57,19023
11,"时代在变 不可能一直停留在七八十年代
",1644,2019年2月7日,19023
12,"等我忙完这一生，就去看家驹的演唱会。
",1442,6月14日 23:15,19023
13,"我刚刚查了查，最受欢迎的华语歌手前一百名竟然没有家驹，一开始我以为逝世的歌手就不在榜，没想到张国荣在榜，特别提醒;并不是黑张国荣；事实说明，逝去的歌手也是包括在内的，但排名也不靠前，家驹竟没在榜，难道2020没有驹迷了吗
",1349,8月13日 16:29,19023
14,"你说，你喜欢这首歌～可你不会知道，在你说出分手后，傻傻的我单曲循环，哭肿了眼～再见，少年，再见，大学四年的青春
",1342,2015年6月10日,19023
