,1,0,time,comments_num
0,"希望我们冰释前嫌 再也不相见
",26.5万,2018年6月1日,123747
1,"八杯消愁酒，山路步两程。
人财非铜臭，故人恍如空。
茅屋安心事，月光引清风。
芬芳与人共，盛夏太匆匆。
幸得一人守，平凡倒不同。
",12.8万,2018年5月31日,123747
2,"朝阳和月光属于少年人
故乡和远方缠绕青年人
明天和过往羁绊中年人
自由和死亡是每位老者的重点
多年之后 心头还是有雨 眼底仍有寒窗
",84707,2018年5月31日,123747
3,"唱吧一版，自弹自唱，节奏轻快，歌词没变，独自一人诉说，
比赛一版，郑楠老师编曲，毛毛的嗓音，穿透所有人的内心。
专辑一版，精心编曲，加上了唱吧的歌词，给所有喜欢他的人慢慢道来。
无论哪一版，都是毛老师的消愁，是属于毛老师的印记。
",46260,2018年6月1日,123747
4,"对明天和过去给予向往，自由是想让灵魂有地安放。你耀眼我平凡，只要清醒就都会被世人蒙蔽双眼，互相耻笑，互相荒唐。
",36740,2018年5月31日,123747
5,"躁动不安的座上客，自以为是的表演着。
",32530,2018年6月1日,123747
6,"一杯敬朝阳，一杯敬月光。
一杯敬故乡，一杯敬远方。
一杯敬明天，一杯敬过往。
一杯敬自由，一杯敬死亡。 敬天地 敬众生
",27319,2018年5月31日,123747
7,"大家总是说不一样了，可能是心态的原因吧，当时比赛焦灼的时期已然过去，我们总想把那时的感动延续却挡不住它慢慢变化，我喜欢过去的编曲也喜欢现在编曲，我喜欢那是孤单地唱着消愁的选手毛不易，也喜欢现在一心想把好的作品带给大家的歌手毛不易，人总不能一成不变。
",22696,2018年5月31日,123747
8,"朋友大概是这么和我说的，那天就是很不开心，刚好看到“人生苦短何必念念不忘”就懂了。
",19197,2018年5月31日,123747
9,"一杯敬高考，一杯敬理想，
带着我的希望，踏上这战场。
",17692,2018年6月6日,123747
10,"你知道 你爱惜 花儿努力的开
你不知 你厌恶 花儿努力的开
",13578,2018年6月15日,123747
11,"酒入愁肠，化作相思泪。
愁向风前无处说，数归鸦。
愁多成病，此愁知向谁说？
青鸟不传云外信，丁香空结雨中愁。
",11067,2018年5月31日,123747
12,"这几年我做了很多没结果的事 无非都是想从那段时期里逃离出来 尽管现在谁都觉得我已经好起来了 我也好像没再回头 但午夜梦回 推开窗子我还是能看见那片望不着边际的大海 我曾千百次坠入深渊 被热浪缠住喉咙 秃鹰和无尾鱼从我身旁经过 望见我在那道银河里磕首
",11005,2018年5月31日,123747
13,"和一个朋友关系僵了，不会在见了，没有冰释前嫌
",10182,2018年12月20日,123747
14,"任何一段岁月，都应该心怀感谢。一帆风顺自然喜悦，路途坎坷未必是劫。你是我的笔尖婉转，我是你的无处安放。南柯一梦也别惆怅，一杯敬心间向往，一杯敬梦里情长。🍻
",9410,2018年5月31日,123747
