,1,0,time,comments_num
0,"“听说长安城死了个戏子”
“戏子唱得一出顶好的霸王别姬啊”
“那她是怎么死的”
“不过是信了个假霸王做了回真虞姬罢了”
",65212,2019年12月1日,31118
1,"他不打游戏，也没有恋爱谈，更没人陪他聊天，可就是不睡觉，就是熬夜，唯一能拯救他的，好像就是天亮。
",50553,2019年11月25日,31118
2,"我发现我自己写的这首诗有些地方挺契合这首歌的（原创哦）
《苦戏说》
——马超然
休责戏家泪落纱，
瞥怜座下三两家，
只闻优伶叹戎马，
平京绝唱忆昔华。
",26803,8月26日 01:13,31118
3,"“诶，你说皇上为何至今后宫无一人呢？”
“嘘，据说当年皇上为了一个男人遣散后宫。”
“那男人呢？”
“死了”“据说是战死”
【夜晚，皇宫中】
“朕的将军啊…你不是说等这长安城繁华，国泰民安就…就回来吗…”
“我做到了…我做到了啊…你为什么要食言…你说过啊…这辈子都不会骗我”
",11547,8月17日 12:35,31118
4,"前奏像把孤独当作晚餐，喊麦像我的将军啊，整体像渡我不渡她
",11052,10月5日 23:43,31118
5,"学习成绩差
字还写的丑
打游戏还菜
要能力没能力
要知识没知识
干啥啥不行
没几个真心朋友
学习没学好
喜欢的人也没能在一起
一无所有，一无是处
明年将要高考的我真的很迷茫
要撑不住了
",7947,10月8日 13:30,31118
6,"那天的雪下的好大好大
“诶，你听说了吗，那东宫的太子疯了”
“真的吗，怎么回事”
“好像是为了一个戏子”
———————————— “父皇，我求你了，我什么都听你的，你成全我们好吗”
“你这放肆，成何体统为了一个戏子如此卑微，而且还是个男戏子，传出去多损我皇家威严”
“父皇……我真的喜
",6983,10月12日 00:21,31118
7,孙红雷在一代枭雄里说的一句话,5360,8月25日 20:24,31118
8,"帝王将相，才子佳人的故事，诸位听得不少，那些情情义义，恩恩爱爱，卿卿我我，都瑰丽莫名，根本不是人间颜色。
人间，只是抹去了脂粉的脸。
",4941,2019年12月2日,31118
9,"不疯魔，如何活.
",4507,2019年12月1日,31118
10,"爸爸妈妈可以披着五点的寒霜去工作 你六点的书并不冻手.
",3960,10月17日 07:58,31118
11,"“数学好的女孩子少，但语文好的有多，相反男孩子数学好的多，语文好的少，是因为，女孩子注重细节,而男孩子在意过程。”
",3108,10月18日 18:31,31118
12,"“我们每一位共产党员都在用生命浇灌着信仰”
",2896,6月10日 23:11,31118
13,"并不是喊麦不好，而是我们一开始给喊麦的定义是我们自己都不能接受的，甚至生怕让别人知道我们喜欢喊麦，这首歌很好听，我很喜欢
",2749,8月5日 13:07,31118
14,"伴随着诗的你定会前程似锦
",2714,8月26日 23:01,31118
