,1,0,time,comments_num
0,"我说寒山别哭
你说嘴巴嘟嘟
",25812,8月18日 00:57,12806
1,"“遇见即是上上签，纵使结局不如意”
",13792,8月19日 02:31,12806
2,"我说韩信别哭 我带你输 我今天就带你输
",11890,9月14日 09:43,12806
3,"女孩要么穿上汉服，柔情万里，
要么穿上旗袍，祸害一方，
要么穿上西装，运筹帷幄，
要么穿上军装，手握兵权，
要么穿上皮衣，做让人闻风丧胆的杀手，
要么十里红妆，嫁意中人
",4692,10月6日 22:05,12806
4,"小时候家里穷，没钱洗澡，只能站窗外看别人洗。
",3099,9月29日 21:14,12806
5,"我他妈就不能做个正常人吗
",2579,10月10日 02:28,12806
6,"原版的声音很沧桑，烟嗓，但是原版的戏腔最好听。
这个翻版，一直很温和，很温柔，好听。
",2513,8月23日 12:16,12806
7,"哪个文化人解释一下歌词表达了什么意思
",2431,8月23日 23:40,12806
8,"突然就想起来李白
他袖口一抖抖出半个繁华的盛唐
然后就念起了杜甫
他眉头一皱，乱了半个大唐
",2270,9月19日 16:42,12806
9,"愿此时，送我清风一尺。
洗去前缘，洗去我痴。
执壶酒，邀约故人一杯。
饮得惆怅，饮得苦悲。
一朝朝蒹葭，一暮暮苍苍。
伊人去，我随南山逐浪。
相思难度，相念成恙。
看烟雨，身似云泥逸散。
且归于尘，且归于土。
一眼眼白露，一泪泪微霜。
",1903,8月15日 21:38,12806
10,"这首歌让我看见那些年抗战军人，他们也怕战争，也怕身死异乡，但是为了人民，为了国家，为了民族，哪怕面对的只有死路一条，也义无反顾用自己的血肉之身挡住那射向人民的子弹，可是，他们也是爹娘养的啊，他们也是怀胎十月的肉体凡胎啊“我说寒山别哭，我带你出”我也想带他们离开那惨绝人寰的战场
",1612,9月2日 22:09,12806
11,"不太清楚美观是不是道观的意思，如果是的话个人感觉歌词是把寒山拟人化，整首歌都表现的很悲凉孤寂，我敬滴酒带你出还有我画美观带你出，你不觉得像是把寒山当成一个人吗，带你出并不是带走，而是一种意境，因为山是不能动的，画美观也一样，在一座寒山上画一座美观是不是就让寒山有了一点点仙气儿？
",1521,8月24日 09:05,12806
12,"要么穿上校服，天天考试
",1427,10月11日 19:23,12806
13,"哈哈哈给爷整笑了
",1270,8月18日 18:24,12806
14,"我是四川人，看到川军我就难受，如果那个时候李湘没死，我们川军就不会那么受委屈，在抗战人数里我们四川人没有垫背，而是在第一个啊，800个青少年，一个都没有回来啊，国人皆如此，倭寇怎敢啊，中国人对日本人的小孩都下不去手，日本人呢，对女人，小孩，老人都下得去狠手，
",1240,9月24日 22:01,12806
