,1,0,time,comments_num
0,"以前总因为他快男出身就各种嫌弃，其实想想自己挺可笑的，如何出道只是一种走入公众视线的方式，音乐，才华，才是能征服人心的利剑。为你鼓掌，华晨宇。
",63.5万,2014年10月18日,310085
1,"这货算是所有快男选手里唱功最强之一的了，神经质歌手，台风一流，曲风前卫。
",42.8万,2015年2月9日,310085
2,"当初你cover版我留言说网易云买了这首歌的版权我就买年费会员，时隔近一年，网易云做到了，我也有承必诺，虽然于我而言会员没有那么实用，但是为了承诺，也为了曾经的情怀，出于自己对于网易云音乐的支持，华晨宇的支持，我也做到了。加油，网易云音乐！！！
",27.5万,2017年12月11日,310085
3,"最后假声高音好似腾空的烟火！
",21.7万,2014年11月5日,310085
4,"“什么时候最孤独”
“盛世烟火由你而放，他们都在看烟花，无人想起你”
",20.8万,2018年3月7日,310085
5,"被认可肯定有过人之处
",16.7万,2014年10月25日,310085
6,"林夕作词太可怕了，每个字眼都像是能钻进人的心里，每个句子都像是一个历经沧桑老者内心那朵不愿意熄灭的花的嘶吼；华晨宇也太可怕了，竟然真的让这些词钻进了我的心里，竟然真的嘶吼出了那种不甘心。
",14.2万,2018年3月6日,310085
7,"笑得开怀，哭的坦率，为何表情要被外界安排
",11.3万,2016年3月16日,310085
8,"本来不喜欢快男，确实无意听到这歌，一听钟情
",10.6万,2014年10月19日,310085
9,"开公司商务车送一个黎巴嫩客户回酒店，车上放着一张中文碟的音乐，放到其中一首的时候，客户自己放大了音量，说他喜欢这首。这首歌，自己开这个车总计听了不下50次了，不知道为什么，每次听都会有一种莫名的深深的伤感，今天终于知道了他的歌名和演唱者。
",10.3万,2015年8月25日,310085
10,"这歌词是林夕老师写的。当时华晨宇只是一个新人，我想是他身上有什么特质打动了林夕，才让他愿意为一个新人写词，而且还前前后后修改了三次。确实太厉害，他与华只不过因为一个节目有一面之缘，但他的词却像是非常了解华晨宇的人写出来的。
",92965,2018年2月14日,310085
11,"想起大学时，快男海选，和同学去见识见识。我们前面就是华晨宇，他背着一把大的电子琴。其他人进去都是一首歌不到的时间就出了海选房间，到华晨宇的时候，我和我同学足足等了半小时，当时就知道了，这小子不简单
",91042,2018年5月4日,310085
12,"笑的像糖 出手像枪 低的优雅 活的漂亮
",71657,2018年3月9日,310085
13,"后来27号那天 他为了帮同学买早饭来迟了 被班主任叫了家长 骂了一顿 还骂了他妈妈 他终于忍不住 提着书包回家说不上学了 路上经过 河 便跳河了 ……我已经失去了一个好朋友了 现在他也走了 这首歌我希望你在 那里也可以听见 要快乐不要让不入耳的话入耳 一路平安
",60332,2018年3月29日,310085
14,"因为快男出身不喜欢，最近听到国王和乞丐，再来听他的歌，真是好听到尿八米远，高音副歌直起鸡皮疙瘩
",47670,2015年7月1日,310085
