,1,0,time,comments_num
0,"让我的爱霸占你的夏天
",9115,6月19日 11:07,8737
1,"老舅这波爱的🤏🏻🤏🏻
属实一点毛病没有奥
摇起来了💃💃
原来老舅跟kozay声音这么合得来
",8919,6月19日 12:17,8737
2,"爱的🤏🏻🤏🏻来咯，拿捏
",6315,6月19日 10:00,8737
3,"今晚打老虎不是性暗示吧？
",4850,9月9日 15:23,8737
4,"《野狼disco》描绘的是身在东北本土，失落又迷茫的蹦迪老舅，而这首《爱的恰恰》描绘的是南下创业的老舅事业有成，举办泳池party，多人运动。
",4629,6月19日 10:10,8737
5,"不懂就问 打老虎啥意思
",3384,6月20日 15:18,8737
6,"有谁和我觉得是王力宏的歌
",3018,9月3日 11:12,8737
7,"这首歌非常适合婚礼用，每次结婚我都用这首歌
",2777,10月11日 15:48,8737
8,"还来个阴间听众和阳间听众？
",2452,6月26日 18:49,8737
9,"有两个意思，第一个是星爷电影里面的台词，第二个是性暗示
",1953,6月20日 16:42,8737
10,"当你男朋友不理你时，你就该反思一下为什么只有一个男朋友。
",1661,9月12日 05:46,8737
11,"唱的部分模仿王力宏痕迹太重了
",1651,9月9日 22:15,8737
12,"为你做爱 心的早餐？？我笑死了哈哈哈哈
",1607,9月9日 17:35,8737
13,"你呼吸的部份模仿了
",1596,9月14日 20:00,8737
14,"听第一遍的时候 第一句“baby想跟你相处，你的香味藏不住”差点脱口而出。对不起打扰了老舅!
",1500,6月19日 16:44,8737
