,1,0,time,comments_num
0,"“一度怀疑你有没有喜欢过我，可是你真的表现出很多喜欢我的样子，又做出了很多从来没有喜欢过我的事。”
",52739,6月18日 21:54,38728
1,"“其实在我心里已经娶过她一次了”
",46796,6月21日 00:03,38728
2,"我总不能抢别人的男朋友吧。
",40095,6月20日 23:37,38728
3,"新版已经发了 听不了的集美们清理一下缓存 第一次正式录太紧张了 大家一起加油
",8681,7月18日 00:22,38728
4,"应该是自己很喜欢的男孩子和别的女生在一起了的意思吧
",7353,6月21日 00:21,38728
5,"想听王靖雯版本的，求求网易云快把版权买了，不要让我再kg网易两处跑了[多多大笑][多多大笑]
",6300,9月24日 15:46,38728
6,"可是我感觉我已经嫁给你一辈子了
",5688,6月21日 00:20,38728
7,"但是我明明比她更先喜欢他的啊…
",5396,6月22日 06:03,38728
8,"谁能相信这是一个15岁女孩子的声音...
",5092,7月23日 13:54,38728
9,"双数去找他，单数不在打扰
",5045,8月30日 14:16,38728
10,"唱错n句求放过
",4475,6月17日 22:59,38728
11,"我前任和我说了分手然后无缝连接了
",3415,6月21日 00:41,38728
12,"woc？？？
",3378,6月20日 23:40,38728
13,"遗憾真是人间常态
",2724,6月22日 06:41,38728
14,"下辈子做个男的 老娘就不信男的分不清绿茶
",2386,7月2日 20:24,38728
