,1,0,time,comments_num
0,"老人拿手机去店里维修
工作人员告诉他手机并没有坏
老人突然哭了
“那我的孩子们怎么不给我打电话”
近期看过最心酸的一个段子…
",50.5万,2016年3月25日,224188
1,刚好处在这个尴尬的年龄,35.4万,2016年4月20日,224188
2,"年度最佳温暖歌曲
",30.9万,2016年3月22日,224188
3,"小时候总骗爸妈我没钱了 现在总骗爸妈没事我还有钱
",14.9万,2016年9月25日,224188
4,"老爸不在几年了。翻老照片，发现近几年回家漫不经心拍的照片，当时觉得拍得不好，都是废片，现在竟然都觉得珍贵，每一张都有沉甸甸的意义。所以每次回家，都要好好拍拍亲人。说不定哪一天，就不在了。
",13.2万,2016年3月22日,224188
5,"我爸妈是文盲，庄稼人，人家说什么他们信什么，只有一件事他们不信，自己孩子比人家孩子差。
",90613,2016年10月1日,224188
6,"去年和老爹吵了一架，第二天知道他快过生日了，刚好也发了助学金，买了皮带和一件西装给他，我给他礼物的时候我可以看到他眼睛湿润了，又是一年我依然没看见他穿我给他的西装，戴我给他的皮带，他一直都在悄悄藏着，过时也不丢掉
",86710,2016年3月22日,224188
7,想起了北大某学生的诗,76597,2016年3月25日,224188
8,"@李荣浩 说这是他最难写的词，既不想煽情又要表达那种情感，最终完成那一瞬间他在微博叫大家跟他一起喊“耶”，可能他也觉得这首词太满意。既不煽情，又抒发了想表达的那种情感。
",57405,2016年3月22日,224188
9,"在妈妈的眼里 所有的病起源都是因为不喝水 不吃青菜 不早早睡觉 可是我爱她啊
",54068,2016年3月22日,224188
10,"人最大的悲哀在于，拿着爸妈提供的物质，学着他们不懂的知识，见识他们没有见识过的世面，体验他们没体验过的人生，到头来，却嫌弃他们如此笨拙 。
",51808,2018年11月7日,224188
11,"独生子女
不能死不能穷
不能生病不能没出息
不能丢下爸爸妈妈离开家
",44593,2018年5月5日,224188
12,"今天看到这么一段话 “妈妈也会想妈妈，爸爸也会变老，再坚强的人也会脆弱无助，我们要抓紧时间爱他们。”嗯，能不吵架的时候别吵架，别连一句我走了都无法回复他，相聚不过短暂时间，别吵着度过。
",31383,2016年3月23日,224188
13,"歌颂这种平凡，一两句唱不完，恩重如山 听起来不自然。 这句歌词瞬间戳中泪点，可怜天下父母心。
",28475,2016年3月22日,224188
14,"瞬间泪珠在眼前打转，大家一定要常回家看看父母啊。
",27805,2018年12月20日,224188
