,1,0,time,comments_num
0,"爷爷病重，考研失败，骑士也没夺冠，今年似乎一切都不顺利。明天就要离校，辗转难眠，我的亲人和理想你们慢些走
",84.7万,2015年6月24日,457215
1,"你们谁能想到 这是我高中室友 果然坚持了音乐梦想 加油！！！！！！
",75.7万,2015年9月22日,457215
2,"谢谢大家的赞，刚刚在学校官网拟录取信息里看到了自己的名字，忽然就忍不住流泪了…我是个大专生，然后上了专升本，第一次考研又失败了，这次是考研二战，我终于成功了…憋屈了六年了，这六年好难熬…现在瞬间释放了所有…感谢路上帮助过自己的每一个人，感谢不甘心的自己
",42万,2016年3月28日,457215
3,"如果有真有男生对我唱这首歌
我他妈就嫁了
",24.6万,2016年3月4日,457215
4,有一个民谣青年曾说,19.6万,2016年3月12日,457215
5,"理想三旬♡
一旬败给年少轻狂的理想
二旬败给青涩无知的爱情
三旬败给沧桑寂寥的现实
",12.9万,2018年1月27日,457215
6,"💭小时候我爱哭，妈妈骗我，你再哭警察叔叔就抓走你，我一怕就收声了。长大后真喜欢上一位警察，在一起六年，双方父母闹了六年。最终他选择回归正常生活，跟别人结婚去了。他结婚那天，我呆坐在家门口，忽然想到什么，回头笑着对妈妈说:您说，我现在哭，警察叔叔会把我带走吗？妈妈哭了。
",11.3万,2016年7月30日,457215
7,"大学倒数第二次班级聚会KTV通宵，第二天早上不知道谁点的这首歌，女友超级喜欢但没记得歌名，没想到第二天在南京火车站的肯德基又听到！外面太吵，躲进厕所，记下一句歌词，在手机的网易搜索歌词搜到了，贴近她耳边，看她笑颜如花！
",10.8万,2016年3月15日,457215
8,"谢谢，惊闻上榜前来围观。
",77280,2015年6月12日,457215
9,"第一次听就单曲循环
",62522,2015年6月15日,457215
10,"今年是我第4次高考，家人很不理解，身边朋友也一个个淡去， 只有我自己知道我想要的是什么，我想摆脱这种瞧不起梦想的环境。 
",59254,2018年2月19日,457215
11,"距离高考还有91天，刚刚结束一模，考的很不理想，我不想总是给自己一次又一次的机会，之前都是看别人高考，现在轮到我了，心里真的很复杂，力不从心又着急。
",53486,2016年3月7日,457215
12,"像是有人扯过耳机唱歌给自己听
",51249,2015年6月23日,457215
13,"才情四溢喜欢到不行
",36626,2015年5月23日,457215
14,"2018.5.31号我总算明白了什么叫孤独，第一次一个人出门来到外地打工，一个人躺在廉租房里听着歌，没有一个人陪我说话，更没有一个认识的朋友，床很硬，也没有热水器，6楼信号很差，我发这条评论都发了5分钟，没办法，生活还得继续下去！加油吧！
",33592,2018年5月31日,457215
