,1,0,time,comments_num
0,"现在是23:56，作为一个医学生我现在还在打着灯使劲的背着一本四五百页都是重点的生理.今天在浙江中医药大学的一名医学生猝死了.我明白生命的重要性.所以我必须努力学习专业知识让以后病人的病痛更少.学医很累，再累也是自己选择的.我也后悔过但如果再来一次的话我还是会选择学医.生而为人我必须努力.
",20.1万,2019年1月10日,164534
1,"生而为人
一定要善良
像关门轻一点
对服务员说谢谢
不评论别人喜欢的东西
借的东西一定要还
就像我对你的好
你要知道只是我愿意
不是我应该
",93991,2019年1月21日,164534
2,"人总会变 抱歉
",87802,2018年12月24日,164534
3,"看太透反而不快乐
倒不如幼稚的没心没肺
幸好我爱笑生活才没那么糟糕
",68711,2018年12月27日,164534
4,"我每天都在笑 你猜我过得好不好
",43504,2018年12月28日,164534
5,"生而为人，
愿你我温柔善良，
愿世界温暖如初。
",28412,2019年1月15日,164534
6,"文章第一句话，最早不是出自太宰治之手。 而是出自一个叫寺内寿太郎的诗人。 他年轻时失去双亲，命运多舛，写了名为《遗书》的一组诗。 诗的其中一句，就是生而为人，对不起。 是啊，没有谁可以决定出生，就像没有谁一定可以掌控人生。 有时候，不论你怎么努力，就是得不到成功。
",19953,2019年1月11日,164534
7,"生而为人
不忘初心，贯穿始终。
尚士达加油
",12411,2018年12月24日,164534
8,"生而为人，你要好好的，请务必努力。
",10585,2018年12月25日,164534
9,"亲爱的自己，没关系，你努力的样子也真的很好看
",10299,2018年12月25日,164534
10,"余生好长，你好难忘。
",9642,2019年1月12日,164534
11,"18年高考失利没考上心仪的医学院。没关系，19年继续努力，口腔医学，等我❤
",5485,2019年1月11日,164534
12,"如果有一天我注销了这个账号，那就说明抑郁症打败了我，如果这个账号一直存在，那就证明我把抑郁症打死了，
",4963,2019年4月17日,164534
13,"我们上那么多年学
熬那么多夜做那么多习题
顶着各种各样的压力
参加残酷的高考
然后上大学
毕业找工作加班
我们这么辛苦
竟然是为了成为一个普通人
",3672,2019年2月14日,164534
14,"我见过斯斯文文的女生在外面偷人的，也见过大大咧咧抽烟喝酒的姑娘坚守爱情的。见过西装打领对父母破口大骂的，也见过一身纹身坐车让座的。这个社会看人不能只看表面 人心背后多的是你不知道的事 没有人会没有脾气和性子 而骨子里的那份善良却是装不了的。
",3625,2019年4月1日,164534
