,1,0,time,comments_num
0,"我嫉妒每一个可以影响你情绪的人.
",28.7万,2016年3月12日,116057
1,"每次看评论的时候我就感觉就我是个没故事的女同学🙄
",17万,2016年4月13日,116057
2,"""你假装不懂 我也故作轻松 错过就错过 总要有点性格""
",14.3万,2016年4月14日,116057
3,"你回头看我一眼吧我快要放弃你了
",89214,2016年5月24日,116057
4,"高中三年，爱了她两年，还有二十九天就已经表白过一年了，一五年的四月二十九日，我说服体育老师，在操场上体育课，全班面前跟她表白，结果还是失败了。
",72200,2016年4月1日,116057
5,"20年前，我们一起降临到这个世界上，14年前，为了不让她受伤，大冬天被邻居家的大狗托在地上几十米，5年前，每天傻傻的看着她发呆，3年前，隔着电话吐槽她，2年前，视频里她对我说加拿大好危险，我对她说武汉下雨我腿好痛，她说还记得我那时候为了她受的伤，1年前，她对我说要结婚了。
",59511,2016年6月1日,116057
6,"大了才明白女孩子为什么一定要化妆。在那些想哭的时刻，把眼泪逼回去，告诉自己，妆不能花。于是我们，终究将绕指柔百炼成钢。
",50122,2016年5月22日,116057
7,"你可知眼含热泪被风吹凉，欲落又被冰冷的吹回眼眶的感受嘛。
貌似从没苦恋过一个人，却又被那种感觉牵扯，我总是喜欢放大自己的情感
以至于还没感动他，却被自己感动的一塌糊涂。
",44748,2016年3月13日,116057
8,很想告诫你们,44441,2017年12月23日,116057
9,"刚坐地铁 一抬头看到旁边一个男的也在听疑心病！！！他看到我在看他 两人相视一笑 如果不是他丑说不定我会心动
",40944,2016年8月17日,116057
10,"“剪坏你头发的理发店你不会再去 吃坏你肚子的快餐店你不会再去 那个一遍又一遍伤害你的人 你为什么还要爱着”
",28362,2018年2月26日,116057
11,"没有觉得有地方好像 会呼吸的痛吗
",26539,2016年3月31日,116057
12,"喜欢你真的太委屈了
丢掉了所有的自尊骄傲
只要你勾勾手就会跑过去
可是
你连手都不愿意对我勾
",26403,2017年12月8日,116057
13,"我喜欢任然的声音，第一次听她的歌是我一点都不难过。很喜欢
",15784,2016年3月30日,116057
14,"最悲催的不是暗恋，而是你暗恋的人不喜欢你，你可以丢掉你所有的骄傲和自尊，只要他来找你，你就会义无反顾去回答他，你把他说的每句话都记住当成阅读理解去读，但是最后你才发现他不过是无聊时来找你说几句话，然后再没有消息
",11335,2018年2月23日,116057
