,1,0,time,comments_num
0,"白羊颜值普遍都高
",31.7万,2017年10月27日,274641
1,"之前在杭州和龙龙一起吃饭的时候，他给我看了这个词，就很期待这首歌，后来也很开心参与了编曲制作，希望你们喜欢这首热烈的白羊
",18.7万,2017年10月26日,274641
2,"我是白羊，我很花心 花心的爱她所有的样子。
",16.4万,2017年10月26日,274641
3,"好想和徐秉龙 沈以诚谈一场不分手的三角恋
",14.5万,2017年10月26日,274641
4,"陈瑞一定是个短发的白羊座小可爱吧💕
",92008,2017年10月26日,274641
5,"自从遇见你 人生苦短 甜长
",80180,2017年10月26日,274641
6,"我是白羊的孩子，其实白羊座表面很傻，内心比谁都清楚，看起来是所有人的开心果是因为我们不想让谁不开心啊，宁愿自己委屈也不会让别人不开心，外冷内热的白羊，请珍惜你身边的白羊吧，他们真的很累但是不会说，性子急护短的我，你愿意靠近我吗
",62681,2017年10月26日,274641
7,"“可爱不是长久之计，可爱你是长久之计。”
",58758,2017年10月29日,274641
8,"听这首歌的人要么是白羊座 要么就是心里住着一个白羊座
",53166,2017年11月11日,274641
9,"希望有一天我也可以云淡风轻
",48907,2017年10月26日,274641
10,"白羊座是一个没有安全感的孩子，爱音乐，非常非常爱，怕黑，却习惯晚睡，喜欢隐藏真正的心事，喜欢有口袋的衣服，否则会不知道手放在哪里，习惯抱臂，习惯冷战，有时会突然不知所措，喜欢窗户，喜欢蜷缩，喜欢写字和阅读，有时会莫名的孤单，感到无法抗拒的恐惧感，不爱说话又很爱说话。 
",37371,2017年11月9日,274641
11,白羊座的梵高说,31562,2018年2月24日,274641
12,"听一首喜欢的歌， 感受生活明朗，万物可爱
",30432,2017年10月26日,274641
13,"你仍是自由的白羊只是我已不是那位牧羊人
",26512,2018年2月26日,274641
14,"幸好我怀里现在就有个小白羊，每天搂着睡觉香
",25878,2019年4月27日,274641
