,1,0,time,comments_num
0,"没看过盗墓笔记这本小说，但是有一个稻米女朋友，之前一直不明白为什么一本小说可以让这么多人满怀热血，但是出于对女朋友的爱，选择今年817陪她去杭州看那个音乐会，现场的沸腾程度令我很不解，只到听到这首歌，女朋友哭了，我也喜欢上这首歌，准备去看这本书啦，陪她一起当稻米，以后一起过年。
",13.4万,2018年12月26日,100929
1,"我曾经很奇怪为什么是瓶邪而不是灵邪，毕竟张起灵和吴邪听起来更配一点。直到我看到盗墓笔记的那句话，世上有很多张起灵，却只此一个闷油瓶。后来，我明白，张起灵是张家的张起灵，闷油瓶却是吴邪的闷油瓶。
",12.9万,2018年7月31日,100929
2,"多年前写了《无邪》和《痕迹》，如今又应邀写了这首《十年人间》，词风有变，初心不改
",91279,2018年7月31日,100929
3,"“十年生死两茫茫，不思量，自难忘，千里孤坟，无处话凄凉。”
“如果你去一次长白山，请你在那里驻足两天，那里有一场离别，一别十年。”
“世上本就没有第二个鬼玺，我不过是想给你十年，让你忘了我。”
“十年期，青铜启，终极闭，故人离，雪飘渺，风尘扰，约未了，他不晓。”
“吴邪，带我回家。”
",47171,2018年7月31日,100929
4,"长白山那十年，是瓶邪相守一辈子的夙愿；而你唱着的十年人间，是超人会菲愿意送给你的繁花万里。
那峰峦是我们会陪你爬上的巅峰，那篇章是我们陪你写下的璀璨未来。
而你就是我心上的清辉与圆月。举世无双李公子，余生陪你一起走。
",45766,2018年7月31日,100929
5,"“就叫吴邪吧，取一个谐音，希望他无邪，干干净净的。”可后来，当他真正知道这两个字的时候，心中的寒意透彻骨髓，他在爷爷的墓前哭的撕心裂肺，他说他从来没有觉得如此绝望和凄凉。地下室里的三月思索，身上的17道伤痕，他压榨了自己的所有天真，一步步从平凡走到神坛，吴邪仍在，不见天真。
",43218,2018年8月1日,100929
6,"第一次走进西泠印社，有个报刊亭的大妈就跟我说，西泠印社，盗墓笔记明信片，来看看吗。然后我就看见她拿出一沓写了很多字的明信片，她说，这都是他们写来寄给吴邪的，留在这里给吴邪看的。我激动得说不出话来，这就是稻米们的信仰，稻米们的力量，一下子有些热泪盈眶。
",31626,2018年8月1日,100929
7,"心里有人叫起灵，
他许下一个诺言有人等了十年；
心里有人叫吴邪，
他经历世间沧桑十年天真沦丧；
心里有人叫胖子，
他甘愿守在村庄只盼云彩归乡；
心里有人叫花儿，
他身抗家族荣耀看遍世态炎凉；
家里有人叫瞎子，
他嘴角勾勒弧度笑临人间荒唐；
心里有人叫潘子，
他舍命为他护航高歌一曲红高粱；
",29202,2018年7月31日,100929
8,"也是一个粉了七年盗笔的稻米 这个十年真的承载这太多 十年的含义怕是只有真正的听书人才懂 愿盗笔填坑完结不留遗憾 愿大哥一路繁花似锦！
",16613,2018年7月31日,100929
9,"长白山脉，信仰轮回所在；青铜门外，立下十年盟约；十年之后，灵邪最终交替；于此今日，超人会菲以李为傲。
",13560,2018年7月31日,100929
10,"写了三次评论都超过140字，打完删了三次，因为我觉得提到盗笔，怎么写都辞不达意，腹内无物，大概很多歌里面都能评论得掏心掏肺矫情至极，只有盗笔相关不行，可能就是除却巫山不是云。还有，感谢超超，我永远喜欢李常超！
",10772,2018年7月31日,100929
11,"有一种古风叫李常超
",8924,2018年7月31日,100929
12,"他和他，好像都是单薄的身体，削瘦的肩膀，一点孤独，一点傲慢，可是一个拥有磅礴如山海的声音，一个拥有护卫天下长安的力量，他们共同的优点，大概是让人可以安心依靠的气质吧。
",8606,2018年7月31日,100929
13,"终是张起灵成了皇帝，溥仪盗了墓
",8524,4月25日 11:50,100929
14,用两个字形容爱情,8449,2019年1月9日,100929
