,1,0,time,comments_num
0,"今天一出门，好冷，下意识掏出手机想叫你多穿点，才反应过来，没有身份了。
",4636,10月24日 00:14,7127
1,"我也没想到我真会喜欢上一个认识了几天的女孩子带我走出了两年的阴影然后把我推向更深的深渊
",3558,10月25日 10:23,7127
2,"你会遇见更有趣的人 慢慢忘了我
",2693,10月24日 00:17,7127
3,"这是我听过三观最正的话了 ""抱歉 我并不喜欢你 出于礼貌一直没有跟你断开联系 这可能让你产生一些误会 我不想吊着你 也不值得你喜欢 我之前没有果断的拒绝你 是因为我知道爱而不得的感受 我也试着喜欢你 但就是没感觉 你很好但对不起""
",1290,10月24日 00:08,7127
4,"以前山川江海都是你，现在山是山海是海。
",1276,10月24日 00:15,7127
5,"我期待属于刘大壮的时代
",943,10月30日 20:27,7127
6,"""我好像老是爱上那些不太愿意认真喜欢我的人""
",916,11月1日 08:32,7127
7,"有些事只适合放在心里，悄无声息的忘记就好！
",780,10月29日 16:42,7127
8,"“秋意當然的路上總是愛意瀰漫”
",598,10月24日 00:08,7127
9,"嘿，那个孙子，余生请你好好待她，她在我这里受了很多委屈，流了很多眼泪，但我发誓你绝对没有我爱他，小爷走喽，但你若是敢负她，小爷我定不远万里提刀取你狗命
",354,10月30日 18:16,7127
10,"我真的太爱翻聊天记录了，好像我和他又爱了一次.
",340,10月24日 00:27,7127
11,"“妈妈说:两个男生追一个女生，用情深的那个先放弃，而爸爸说:两个男生追一个女生，用情浅的那个先放弃，是谁说的对
",297,10月29日 18:40,7127
12,"“知道猫和老鼠吗”“知道，就是猫和老鼠的动画片”
“那你知道它第一集讲的是什么吗”
“不知道”
“讲的是汤姆猫是全球的捉鼠冠军”
所以你明白了吗？
汤姆把所有的偏爱都给了杰瑞。
",218,10月24日 17:30,7127
13,"早知道那是最后一次拥抱我就抱紧点了
",200,10月24日 10:36,7127
14,"那天我打字飞快 生怕他把我拉黑删除 眼泪一遍又一遍的流下 自己一遍又一遍的擦干 生怕屏幕湿了打字速度变慢 他就看不到我的解释了.
",199,10月27日 23:29,7127
