,1,0,time,comments_num
0,"我们是男孩子.我们在一起了
",20408,10月16日 09:25,12769
1,"这首歌一定要带耳机听啊～ 惊艳咩～
",10853,5月5日 02:33,12769
2,"我的初心就是做你们的宝藏男孩🥰感谢你们对YG的鼓励和爱。每条评论每个私信都有认真读认真看，让我发现了善良甜蜜的人还是大多数！ Respect ！ 💙你们都值得最甜蜜舒心的爱情和生活！ 很高兴认识你们，初次见面请多指教！
",6812,10月1日 04:25,12769
3,"怎么办？喜欢上了好朋友的哥哥，比我大五岁，身高180+，长的比较韩范，会打扮会收拾自己，高考659分，同济金融系，去德国留学过一年，精通五种语言，今年在备战考研，好喜欢他好喜欢他好喜欢他，在飞机上坐到我旁边的那一刻，我感觉自己静止了…
",5940,10月17日 15:13,12769
4,"我们是女孩子，在一起122天了
",3980,10月26日 12:56,12769
5,"今天终于把喜欢了1309天的男孩子拐回家了，针不戳～
",3741,10月8日 16:50,12769
6,"自己的旋律说唱风格，希望能被更多人听见～
",3147,7月19日 18:37,12769
7,"“塑料落到了木地板上，我说了句我爱你。”
",2810,10月31日 19:03,12769
8,"“天变了色 云换了型 我动了心”
",2381,10月7日 23:30,12769
9,"我赌这首歌在不远的将来 能上热搜榜。
",2194,10月22日 13:49,12769
10,"“13岁的桑稚喜欢20岁的段嘉许，18岁的桑稚还喜欢25岁的段嘉许，20岁的桑稚嫁给了27岁的段嘉许.”
",1970,11月1日 07:00,12769
11,"声音太像我喜欢的男孩子了！！！好想好想听他唱！！！
",1872,10月27日 21:23,12769
12,"虽然很不想承认。。。
2020.10.16星期五晚8",1802,10月16日 20:39,12769
13,"双数就追回来 单数就算了吧 看你们的了 👉
",1529,11月7日 22:04,12769
14,"各物有主 希望我是你的公主
",1410,10月8日 17:36,12769
