,1,0,time,comments_num
0,"经济舱是每个揣着梦想人的起点 我这样 刘聪也这样。合作需要共鸣 听歌也需要共鸣 如果这首歌Hit了 那夜是因为每一个坐在经济舱但看到山外山要做人上人的英雄！
",12.3万,10月16日 21:53,82220
1,"拨不通的电话...
",12.2万,10月16日 22:00,82220
2,"刘聪hook太好听了吧😭
",68863,10月16日 20:18,82220
3,"昨晚跟老爸视频，得知爷爷生病，我也知道家里没有钱，老爸压抑哽咽，问我还有没有生活费，他再给我一些，我说去医院给爷爷检查身体，钱我来想办法，月底我的奖学金就到了。现在每个月只有600块的国家助学金，实习没有工资，我生活在绿皮火车里，连经济舱都不算不上，但我会成为人上人
",27563,10月23日 17:00,82220
4,"我聪别声音一出来我真的直接哭了
",23367,10月16日 20:19,82220
5,"哈哈哈，那句话是我说的成都飞北京，他坐在我旁边，我认识他 我说，“卧槽你们还坐经济舱啊”他没理我，也没说这是通往成功的方向，他就冲我笑了一下，这算不算出歌diss我 哈哈哈哈哈
",20038,10月24日 11:49,82220
6,"第一季 time
第二季 星球坠落
第三季 Hey kong
第四季 经济舱
",17435,10月17日 09:46,82220
7,"戴上耳机 屏蔽周遭的喧闹
闭上双眼 聆听自己的心跳
为什么一直单曲循环 我也不知道
忽然间又想起十年前 丢掉的车票
",13906,10月22日 14:08,82220
8,"耳机电池没电 我又回到了现实 回到了现实
",12008,10月17日 14:52,82220
9,"46A已就坐🤏🏾
",9360,10月23日 17:30,82220
10,"刘聪拯救了两季新说唱
",8215,10月16日 23:00,82220
11,"如果说今年kafehu的verse是特立独行的说唱诗人，那3ho和keyL的hook就是支撑诗人流浪的灵魂
",7638,10月17日 12:39,82220
12,"2021 上海财经大学
我一定可以考650
我一定可以追到张亚琪
我一定可以不辜负我爸妈
我一定可以成为人上人
",5137,10月25日 00:38,82220
13,"经济舱很差。。。。。。？？？？？？多少人从没坐过飞机。听着这三个字就难受，感觉经济舱有多差一样
",4355,10月28日 16:21,82220
14,"我可以穿着白裙子把你的烟拿掉熄灭，也可以穿着吊带用手挡风让你点烟。
",4076,10月24日 17:00,82220
