,1,0,time,comments_num
0,"孤独的路途感谢有你的陪伴 虽然我们的距离隔着一副耳机 Dont cry my babe
",34786,11月3日 21:28,25617
1,"是鹰就不留恋地平线，云层上见～
",29573,11月4日 00:03,25617
2,"再见了
宋欣怡
",21737,11月9日 07:33,25617
3,"孩子别紧张，生活不是竞技场，不留恋地平线，又何尝不是想学鹰一样展开翅膀飞向天空，朋友，我们云层上见！
",15641,11月5日 16:53,25617
4,"爱情也许就是商务舱与经济舱的区别，但是别忘了虽然路途的待遇不一样，可到达的目的地总归一样。加油一切都会好的
",9136,11月3日 22:09,25617
5,"聪哥一直一直都是我的最爱啊大家都在说hook绝了hook有多好听可是我觉得在这首歌里认认真真讲他自己故事的kafe也好温柔 希望这么温柔的人能越走越远和聪哥大傻和一群志同道合的人和Freeman小朋友一起越走越远✈️
",7403,11月4日 03:29,25617
6,"老子一定会优秀的，15初中毕业就进工地，学费3年的赚够了，明年回去读书，虽然只能读职高，但是没关系，老子能行
",4176,11月10日 19:24,25617
7,"冰不能忘了Be watter的经验 就像鹰不可以留恋地平线
",2785,11月3日 21:34,25617
8,"九点了 ，终于，拨通了📞经济舱yyds👴终究还是拨通了！！
",2426,11月3日 21:00,25617
9,"租的房子离机场很近 每天上下班看到飞机都会忍不住抬头看 总是想这趟航班是不是飞往她在的城市。
",2126,11月3日 21:58,25617
10,"我能说刘聪拯救了两届新说唱吗？
",1769,11月4日 20:10,25617
11,"有些人见面要坐汽车
有些人见面要坐飞机
有些人见面要做梦。
",1713,11月9日 03:09,25617
12,"鹰不可以留恋地平线 我也一定要走起来不能气馁
",1680,11月4日 22:18,25617
13,"你我山巅自相逢
",1368,11月10日 10:10,25617
14,"KEY. L刘聪 货币般流通
",1231,11月3日 21:01,25617
