,1,0,time,comments_num
0,副歌像,30291,5月31日 18:16,14280
1,"半年没发新歌了！跟7合作的一首国风电子 这次真的没有鸽你们哈哈哈！第一次尝试rap！自己还挺满意的 希望你们也是！
",23674,5月30日 00:16,14280
2,"好久没有发歌啦 这次也是新的尝试 和wuli阿涵得新歌希望大家能喜欢吖！！这次是hook七吖！ 
",17831,5月30日 00:08,14280
3,"没看词之前:爵士乌鸡天下鲜…？？？
",7133,6月4日 21:30,14280
4,"宫殿内女子一身金衣，上绣绝色红凰图腾，眸子微挑。满是君临天下的气质，下有一小侍卫跪着“皇上，云妃战败，邻国皇上求她一舞，云妃……”女子娇嫩的脸庞浮现怒容，她将手边名贵瓷器砸下，扛起刀。咕囔着“这臭男人，欺负到朕的头上来了。”大帐内，云妃正欲舞，女子从外闯来，提刀砍了那男人。扛起
",5450,7月24日 21:25,14280
5,"我觉得还挺好听的啊，为什么那么多人骂
",5444,6月26日 21:49,14280
6,"长安有一戏子
唱的一曲好戏，却终日以纱覆面，卖艺不卖身
城里不知多少男子一掷千金想换她揭纱
她每每都是笑笑了事
“姐姐，我很不解”有个女子跑来跟她说
“怎么了？”
“姐姐卖艺不卖身就算了，为何要以纱覆面？就以姐姐这等倾城色，还有谁不会拜倒在姐姐的裙下啊”
她苦笑了一下，眸子却是亮了
“因
",4662,8月9日 08:51,14280
7,"这曲子和歌手感觉被词拖累了。。。。这词写的咋让我有种喊麦的感觉呢
",4618,5月30日 17:47,14280
8,探子冲进将军帐篷大喊,4434,7月31日 20:09,14280
9,"其实就是你读书少[多多捂脸]
",2697,7月7日 13:55,14280
10,"别忘了当年歌曲《知否》被人喷，说什么没有押韵，生拼硬凑，结果那词是李清照写的
",2634,7月31日 01:31,14280
11,"这歌挺悲伤的 让我想到了一个故事
: 男孩是太子，女孩却只是一个卑贱的舞姬，两人意外相遇，两情相悦。女孩不愿意男孩的后宫3000佳丽共享一个人，男孩为了他舍弃了皇位，想和女孩浪尽天涯，心心相依。敌国来袭，要女孩去和亲，不然就要大开杀戒。最后，男孩打定主意让女孩去和亲，被蒙在鼓里的女孩
",2623,8月18日 14:02,14280
12,"越长大你越会发现，你缺少的不是一个异性， 而是一个可以共鸣的灵魂
",2407,5月30日 12:43,14280
13,"女孩子嘛
要么穿上汉服，柔情万里
要么穿上旗袍，祸害一方
要么穿上军装，手握兵权
要么穿上医装，悬壶救世
要么穿上皮衣，闻风丧胆
要么穿上嫁衣，佳偶天成
要么穿上校服，诲人不倦
要么穿上西装，运筹帷幄
要么穿上古装，端庄典雅
实在不行
凤冠霞帔，十里红妆，嫁给有情郎
",2292,7月30日 12:25,14280
14,"今日作业汇报情况:
今天数学作业未提交
今日语文作业未提交
今日英语作业未提交
今日地理作业未提交
今日历史作业未提交
今日道德作业没提交
今日物理作业未提交
未提交的请赶紧提交
",2175,9月19日 22:05,14280
