,1,0,time,comments_num
0,"也许我们在爱情上
经历了许多失败、失望、失落
也曾在无数个夜晚
想着自己可能就这样孤独下去
但是
某一天一定会有某个人
来到你身边
永远陪伴你
走完这一段
或精彩
或平淡
的一生
",13604,6月15日 20:05,15326
1,"今天是我爷爷的忌日，非常羡慕他和我奶奶的爱情和婚姻，希望大家也能有长长久久的爱情！
",8378,6月15日 20:06,15326
2,"“我不傻啊，穷有饭吃就不穷”“下辈子不要中途下车了，你要和我一起享受美好生活，一起走到终点”一个我很爱很爱的女孩子跟我说的。对不起遇见你的时候太小了，把所有的不成熟都给了你，如果能晚一点相遇，我一定学会好好爱你。
",5918,9月11日 13:22,15326
3,"我一定会娶到王桦栋的。即使是两个男生，我也会娶他。
",3239,9月27日 20:22,15326
4,"我听过最温柔的一句话就是 我是不会让你带着情绪过夜的 你所谓的自我调节是在慢慢的远离我 我不要你这样
",3055,9月26日 05:57,15326
5,"我一定要娶wwz，即使我们两个都是男生，我也要娶！
",2857,10月31日 13:00,15326
6,"我的男孩交给国家啦，军恋真的好辛苦，他很忙的，没有时间陪我，但是我相信他，很坚定的在等他，刚刚失联了两天的他，给我打来电话，我一瞬间的崩溃大哭，估计他也很心疼吧，一直在跟我道歉，我好担心，心疼他，也真的好想他，真的好喜欢他，我想跟他有一个美好的结局。
",2804,10月27日 17:21,15326
7,"等你的第1485天，我的男孩已经上交给国家整整四年了，我们还在坚持，半年见一次，你好好当兵，我来好好照顾叔叔阿姨不会让你担心，我努力赚钱，帮你攒够彩礼，一起买一套属于我们的房子，这样我的男孩他就不会太辛苦了，等你卸甲归来我白裙迎接，天地为鉴，山河欢喜，苦尽甘来，爱你LJH。
",2441,9月25日 23:38,15326
8,"“公平一点，你向着我，我坚定你。”
",2367,9月13日 10:21,15326
9,"“三观没有标准，在乌鸦的世界里，天鹅也有罪”
",2183,10月27日 14:51,15326
10,"这年头不缺爱情 缺的是把爱情当回事的人.
",2067,10月20日 21:13,15326
11,"公务员考上了 普通话过一乙了 教资考下来了 终于苦尽甘来了
",2002,10月31日 10:22,15326
12,"他要是喜欢你 怎么可能那么久都不联系你
",1946,9月29日 21:05,15326
13,"“你要是联系我了，我就跟你聊，你要是不联系‬我吧，我也就顺‬其自然，实不相瞒，挺想你的，能克制住，问题不大。”
",1668,9月8日 23:17,15326
14,"今年是gsw和wzt在一起的第一年♡
",1572,8月27日 10:36,15326
