,1,0,time,comments_num
0,"带着某些瞬间会突然袭来的心痛努力地生活，笑着说再见
",13.6万,2019年9月6日,102037
1,"我不想再去认识一个新的人，再去磨合一切，不想再告诉他我的小秘密，再也不想在夜里一个人偷偷的哭，不想再去重新喜欢一个人，我只有一点点爱了，可我还要过一生。
",12.7万,2019年11月5日,102037
2,"有些姑娘脸上满面春风 内心却是寸草不生
",10.6万,2019年11月2日,102037
3,"一扇不愿意为你开的门 一直敲就是没有礼貌
",65608,2019年11月14日,102037
4,"后来她从深渊里爬出来了 却也好像死在了那个深渊里。
",48763,2019年11月13日,102037
5,"夏日的遗憾一定会被秋风温柔化解的
",44761,2019年9月6日,102037
6,"我究竟还要遇见几个人 才能彻底忘记你.
",33747,2019年10月25日,102037
7,"比起“你保护世界我保护你”这句话让我觉得更有安全感的是“你往前走我一直在你身后”.
",30001,2019年11月5日,102037
8,"我就是死要面子 自尊心特别重 我只要一发现对方没有那么喜欢我了我就会把这段感情判一个死刑 你说像我这样的人能顺利谈恋爱吗 不想勉强自己喜欢别人 也绝不勉强别人喜欢自己 对方迈步 我会更热情 任何感情 对方退一步我就想消失
",27245,2019年11月13日,102037
9,"蓝色其实是一种很轻浮的颜色，可奇怪的是，当它尽情地蔓延成天空那么大的时候，你就会发现，轻浮，原本是宽容的一种。
——笛安 妩媚航班
",25372,2019年10月13日,102037
10,"我为我所有不合时宜的出现，不知深浅的喜欢，不顾廉耻的纠缠向你道歉
",21674,2019年11月8日,102037
11,"我有努力 只是你没感动罢了
",19205,2月5日 16:17,102037
12,写给你,19171,2月25日 01:29,102037
13,"早就该明白的道理 却总是走很多弯路失望很多次 才会在某个瞬间从一些不具名的小细节顿悟 其实你早该明白的 人生中有缘无份的时候 好聚好散是最好的尊重 也是最好的结果 
",13716,2019年11月18日,102037
14,"19年7月写了这首歌，看着窗外湛蓝的天空哭了一整个下午，写下真实的情绪。感谢大家，每个人的评论都让人触动，我们都有自己的方式去纪念那些遗憾，任时光逝去也无法磨灭的记忆。明明泪流满面却还努力着微笑的样子，对不起当时没能抱紧你...
",10239,2月25日 01:23,102037
