,1,0,time,comments_num
0,"项羽
虞姬
横竖念都一样，你是我我既是你
",14787,9月16日 06:42,10141
1,"“——霸王意气尽，贱妾何聊生？”今天依旧是江湖闻呢[多多比耶]
",7553,9月16日 01:07,10141
2,"她陪他走过功成名就，也走过穷途末路。即便最后在乌江诀别的时候，她也无怨无悔。因为她爱的是一个值得爱的人，这个人不是西楚霸王，而是项羽。虞姬你可有悔？妾随大王，生死无悔。
",5595,9月16日 01:00,10141
3,"我直言了。 这首歌抄了关山酒旋律。简直不加修改。
",3809,9月18日 16:19,10141
4,"这层是不是三观有问题?抄袭就好听就行?
",3560,9月26日 11:07,10141
5,"历史不会记住失败者，项羽除外
",2666,9月18日 20:17,10141
6,"如果鸿门宴项羽狠心一点，天下会不会不一样？
",2387,9月19日 07:52,10141
7,"项羽太肉了，虞姬后期出破晓才能打的动
",2261,9月30日 11:44,10141
8,"这个优秀，听你说了才发现，真是这样！
",1727,9月17日 20:42,10141
9,"小时候家里穷，没钱洗澡，只能站窗外看别人洗。
",1375,9月29日 21:20,10141
10,"对于我们来说好听就可以了
",1193,9月18日 18:51,10141
11,"这楼三观简直不忍直视
",1111,9月28日 01:18,10141
12,"开头和高潮都有《关山酒》的影子，仅个人感觉，确实第一次听就想到了关山酒。
",1108,9月18日 13:56,10141
13,"“皇上，娘娘可徒手引蝴蝶飞来！必是妖孽！”她若是妖孽，怎会被你关到笼子里？
",982,9月19日 22:04,10141
14,"——
两个男孩子的路途.
原来真的可以那么难.
霸王别姬.
是霸王败走弃人而亡.
还是虞姬仗舞留霸王.
我不知道.
就像我不知道，我们能不能再走下去.
学弟，你说我是你初恋.
你又何尝不是我的悸动.
在这，祝你像你名字那般",977,9月24日 00:43,10141
