,1,0,time,comments_num
0,有人说,74.7万,2017年12月14日,443079
1,"我只是想起了你，不是想你了
",43.8万,2017年12月13日,443079
2,"一别两宽 说散就散
",22.8万,2017年12月13日,443079
3,"电影散场以后一直坐到最后，站起来的一瞬间还是没崩住 嗯 我知道我该放手了。
",20.7万,2018年1月2日,443079
4,不要等芳华逝去，珍惜眼前人，且行且珍惜。 想对未来的老婆说,14.1万,2017年12月30日,443079
5,"我是街上的游魂，你是闻到我的人。
",10.7万,2017年12月13日,443079
6,"你对我真的很重要，很重要。要是我真的找不回你了，请那个他记得，你不吃鸡蛋，不喜欢有胡子，不喜欢打呼噜，不喜欢总烦你，怕冷，怕壁虎，招蚊子，喜欢吃辣，喜欢吃海鲜，喜欢蓝色，喜欢🐬，最重要的人是姐姐，喜欢民谣，喜欢赵雷，喜欢吃豆豆，喜欢黑椒牛柳放芹菜。一定要记得对你好。我好想你！
",10.7万,2018年1月7日,443079
7,"""说不上爱别说慌，就一点喜欢…""背景音乐声一出好多人都哭了，或许是都有感触吧，因为这个时候我们才会发现，有些东西错过了就是错过了，遗憾终究是遗憾了，我们能做的就只能是擦肩而过，然后变成最熟悉的陌生人。尽管很痛，但这依旧是我们的选择。
",77238,2018年1月4日,443079
8,"前任跟我分手后分享的就是这首歌，截图画面停格在“因为成长 我们忽而间说散就散”再见吧，大学的青春，将一切都原谅。
",69982,2017年12月13日,443079
9,"我在宁波 这里有一点冷听着TIA的这首新录的歌让我想起以前在学校里晨跑的感觉从5点40开始 到6点结束 我们会靠在窗户旁边等着太阳升起那是一种年轻和希望的感觉尽管那段时间我现在都不觉得快乐但坦诚的说 那给我一种奇妙的感觉 怀念 平淡 还有充实
",60516,2017年12月13日,443079
10,男生分手的状态,59319,2017年12月30日,443079
11,"我以为孟云穿成至尊宝的样子是想挽留，却在看到林佳拼命吃芒果的时候明白原来是在放手。
",48163,2017年12月26日,443079
12,"不同于以往的大开大合，袁娅维的这一次翻唱保留了原曲的旋律主干，而且在编曲方面也并没有“过分”的渲染。她唯一所做的就是用自己的理解，做出了许许多多细节方面的处理，该强则强，该弱就弱，分寸的拿捏恰到好处，把一个女生的委屈，心酸通通唱给你们听。你听，这就是她。
",47870,2017年12月13日,443079
13,很想告诫你们,36996,2017年12月18日,443079
14,"爱情是一场说走就走的旅行 也是一场说散就散的青春 既然可以说散就散 那就说忘就忘了吧
",31581,2017年12月27日,443079
