,1,0,time,comments_num
0,"流行歌里，这是我非常喜欢的一首。无论从词曲的创意和演唱者对音乐的诠释都十分到位。全曲42句歌词，男主角一直说我没有说谎，但是从第一句开始就是谎话。演唱的难度在于歌者如何通过声音来表现歌词内容中男主角那种“死鸭子嘴硬”的状态，明明在说谎而且陆续被对方拆穿了，但还要逞强直到完全崩溃。
",28.2万,2014年11月4日,198059
1,"以朋友的身份守护在她身边两年，每次她朋友来问我时我说把她当妹妹看，不敢表白。在她生日聚会KTV那天，一个男生对她表白了并且她答应了。那天晚上说了好多祝福的话，喝了好多的酒。轮到这首歌时，我抢着麦说我要独唱。唱到一半强忍着冲进洗手间狂吐，抬起头的那一刻才发现，镜子里的自己流着泪……
",23.1万,2014年12月7日,198059
2,"我跟他说了谎，说我有对象了。
我以为他会不开心。
但是，没有。
他开心跟我说，他也有对象了。
我不开心了。
后来，我真的有对象了。
我跟闺蜜说，我有对象了。
她问，是他么？
我反问闺蜜，你怎么这样觉得？
闺蜜说，因为他一直单身啊。
我慌了。
原来，那时，他也说谎了。
",21.2万,2018年3月4日,198059
3,"梦见全人类都中了一种一说谎就爆炸的病毒，走在大街上，四面噼里啪啦像过年放烟花，我穿越人群轰鸣，来到你家楼下，大声喊着我爱你，终于让你明白我说的不是谎话。你流着泪说我也是，炸成了天边一朵红霞。
",14.9万,2014年12月5日,198059
4,"牙疼，特别疼，你的喜糖就不吃了
不胜酒力，你的喜酒就不喝了
健忘，特别健忘，你叫什么也忘了
",13.2万,2018年3月9日,198059
5,"说谎的人要吞一千根针哦
",11.3万,2014年10月20日,198059
6,"高一喜欢同班一个男生，高二为他考进重点班，他却没去。高二他有了女朋友，我知道了原来他有个暗恋五年的女孩。高三，我们约好一起去南京上大学。高考后，我表白了，却败的一塌糊涂。最终我去了苏州，他在大学有了新女朋友。后来他分手，一次打电话，他说当初你来南京就好了。有点心痛，是你不要我的。
",78194,2018年3月6日,198059
7,"你不喜欢我，并不是我不好
",76672,2018年3月1日,198059
8,七友,72583,2018年6月26日,198059
9,"一首歌，从前听的是旋律，后来听的是故事，再后来听的却是自己的悲伤
",65781,2014年11月18日,198059
10,"对不起，我的鼻子又因为你变长了。
",59660,2018年3月1日,198059
11,"上帝 请你一定要保佑她 保佑她不管遇到什么困难 都能战胜 不被挫败 保佑她哪怕哭过多少次 摔倒过多少次 仍有站起来的顽强 保佑她所遇见的人 都是内心温暖的人 请一定要保佑她 这就是我的祈祷
",57105,2018年3月18日,198059
12,"韩寒说
如果你喜欢我
碰巧我也喜欢你
因为种种缘故现在不想在一起
你告诉我一声
我等你就是了
",53781,2018年8月11日,198059
13,"林宥嘉总是能举重若轻 澎湃的感情用他若无其事的唱法演绎的更震撼心灵
",37782,2014年10月28日,198059
14,"今天被我妈拉来在她一同学的餐馆吃饭 她那个同学说话超级大声，震得我耳朵疼，口水还喷到我脸上甚至碗里，我那时真的非常讨厌她 我妈说这是她餐馆最后一餐了，明天就不开了 她一直等她那个老公回来，餐馆是他的名字 她喝了很多，很久，用我妈那方言讲了一大堆话 生活是很难的，我知道 我知道
",24434,2018年4月9日,198059
