,1,0,time,comments_num
0,何谓李白？是美酒，是潇洒，是轻狂，是大醉伶仃；是玉剑，是侠义，是逍遥，是豪情壮志；是纸卷，是长安，是月夜，是梦笔生花,50577,2月9日 10:23,31682
1,"少年思无邪，最最动人。
",29173,2月10日 15:49,31682
2,"里少独特的风格越来越明显了，寄给荒野和这首谪仙都有这种感觉，不同于普通的歌声，里少给我的感觉不是直击脑海，而是轻抚心灵，在旋律中翩翩起舞，很灵动的歌声中带着几分慵懒，正如这首歌的名字，谪仙，叶里便似仙
",23831,2月8日 22:44,31682
3,"我以为谪仙读di。还一本正经给人科普🙂🙂🙂
",13573,5月26日 22:43,31682
4,"李白随口一张就是半个盛唐，
杜甫眉头一皱又添了半个乱世
",11316,8月9日 14:01,31682
5,"“月光还是少年的月光，九州一色还是李白的霜。”——余光中
",8812,2月8日 21:38,31682
6,"“李白，何许人也。”
“喝酒前，他是大唐的，喝酒后，大唐是他的。”
",8578,7月4日 17:59,31682
7,"我同桌可能是个精神病，上课用手比做枪对着自己脑袋“嘭”了一声，然后倒在桌子上睡了一上午……
",8375,8月20日 12:14,31682
8,"这首歌是叶里独唱的哦！伊格赛听是厂牌名，很多宝宝以为是两个人唱的，特此说明一下
",5323,2月10日 08:38,31682
9,"《囍》接《长恨歌》接《谪仙》，一起听完我好像进入了一个奇怪的世界
",4825,3月3日 15:07,31682
10,"谪仙
李白病死，全京城的的人涌动。
谁也不相信李白的死，他们俸为谪仙的人，却因为凡间的疾病所逝。
后来，来了一位少年。
他说李白时醉酒捞月而逝。
所有人都相信了他的话。
傍晚，无人。一舟，一人。
人拿起一壶救笑道",4652,7月29日 19:51,31682
11,"我一直相信我的李白是个风流倜傥英俊潇洒的男子，而不是语文课本上那个矮矮胖胖大肚子长胡子还有眼袋的老爷爷[多多大哭][多多大哭]
",4376,8月1日 10:42,31682
12,"一位韩国的爸爸带着18岁的女儿去夜店，使劲给她灌酒，直到她喝醉，第二天女儿醒来，床头有杯蜂蜜水和一张纸条，纸条上写着，你昨晚只喝了七杯，你要记住，这是你的极限，爸爸不能陪你一辈子，以后做事要有分寸。一位中国的爸爸看见了，也想试一试，她带着女儿从KTV到98，爸爸吐了四次，女儿还是没有醉
",4225,9月8日 12:55,31682
13,"都说文无第一武无第二，可偏偏太白在那个大唐文采飞扬冠绝古今当称第一，剑术师承裴旻潇洒恣意可称第二，偏偏不与这俗世为伍，却也正是我心中那个仗剑去国的谪仙
",3918,2月10日 00:29,31682
14,"杜甫遇李白在744年的时候，杜甫和李白相遇，那时杜甫32岁，李白43岁，两人相差11岁。当时的李白已经名扬天下，而杜甫在诗坛还只是崭露头角，在当时李白不仅是在年龄上比杜甫大，而且在诗坛上的辈分领先杜甫一个时代。在杜甫与李白相遇之前，杜甫早就听闻熟读过李白很多的诗句，当时一见到真人，杜甫对
",3689,9月6日 00:29,31682
