,1,0,time,comments_num
0,"给大家科普一下
上一个版本是自己录的没拿到版权
而这个版本是原曲日本作家
亲自给买辣椒录的曲啦
这次是有版权的了
",61.9万,2018年12月3日,444713
1,"这首歌一开始没有版权，后来网易云音乐帮助买辣椒也用券向日本版权方、高桥优的企划制作团队提出了正版合作。这首歌是在高桥优的指导下发出的哦#哇哦计划#
",658,11月14日 18:53,444713
2,"听了新版起风了
什么感觉呢
就像是认识了好久的随便画了个淡妆的姑娘，虽然有瑕疵，但是很好看，很舒服，也习惯了
这次这个姑娘认真地画了妆，不是不好看，只是不习惯，觉得不如淡妆好看
还是喜欢淡妆随性的那个姑娘 
",44.3万,2018年12月3日,444713
3,"现在的喜欢好廉价，好友删了就什么都断了
",32.2万,2018年12月3日,444713
4,"我喜欢三月的风.
六月的雨.
不落的太阳.
和最好的你.
",22.2万,2018年12月3日,444713
5,"愿你出走半生，归来仍是少年
",13.9万,2018年12月3日,444713
6,"高一的时候，遇到想照顾一生的女孩，看见她就会脸红，惊喜紧张，深刻的体验拙于言辞
只因年少不懂爱，不知道那不只是友情
或者晚一点遇上成熟的我……
当流星划过天际，我喜欢过你，用珍惜的心情。
--致曾经抬头1点方向就能看到的你❤
",13.2万,2018年12月3日,444713
7,"你本无意穿堂风 偏偏孤倨引山洪
",10.8万,2018年12月3日,444713
8,"“这样确切的爱，一生只有一次。”
",94317,2018年12月3日,444713
9,"我只是想起你，不是想你啦
",78237,2018年12月3日,444713
10,"起风了 唯有努力生存
",68284,2018年12月3日,444713
11,"其实我觉得上一个好听......这个也好听
",49740,2018年12月20日,444713
12,"风起于初春 那是微风拂面 清爽撩人 是为心动 风落于寒冬 那是寒风刺骨 冻彻心脾 是为心动 初识世间 走过世间 心之所动 随缘去吧
",45596,2018年12月3日,444713
13,"总是这样 很难过又很难说
",44267,2018年12月3日,444713
14,"曾经那个版本真的让我感触很深，超级喜欢
",40798,2018年12月20日,444713
