,1,0,time,comments_num
0,"我本想去地狱，可是地狱打烊
便转身走去天堂，但天堂也客满
于是我路过人间，正好你房间正通亮。
",12.9万,2019年3月28日,91491
1,"“我活不成济公样子，放不下那么多东西。我救济不了苍生，但我活在苍生里。”
我一个人 ，我活在当下 ，我他妈享受人生。
",85870,2019年3月28日,91491
2,"我看着月光在墙上映出来的他的影子 悄悄抬起手 拂过他的鼻梁和眼眸 我和他的影子交织在一起。说来惭愧 人只要有机会 就又沦陷。
",35061,2019年3月28日,91491
3,"说来惭愧，人只要有机会，就又沦陷。这歌词很真实了！真正爱过的人是不能做朋友的，一见面就会心软，一拥抱就会沦陷，哪怕多看一眼，就想重新拥有。
",26286,2019年3月28日,91491
4,"说来惭愧 我对爱只学会 视死如归
",18207,2019年3月28日,91491
5,"真的真的好喜欢这种风格啊，有点像被夜晚的清风很温柔的摸摸了头
",16883,2019年4月3日,91491
6,"从天堂到地狱 我路过了人间 路过了青春却错过了你。下次我路过 人间已无你。愿你余生不悔，旧路不归，下辈子，各自安好，互不打扰。
",15171,2019年4月11日,91491
7,"身边朋友经常脱口而出副歌……这首歌做到了让路人听第一遍就喜欢上甚至会哼唱。心心念念的小人间的正式版终于来了，可能有争议有人喜欢有人可惜，但新专辑每首歌都是这位姑娘的心血，喜欢哪个版本就听哪个版本，实在很期待这首歌第三版的合唱版，无法形容对这张专辑的喜爱，演唱会见吧姑娘❤️听你唱
",8956,2019年3月28日,91491
8,"你还是那个不相信永远的郁可唯
我还是那个永远爱你的郁金香
爱而无畏 乐观善良 温暖治愈
你是我心里的温水 也是我心里的人间
",8577,2019年3月28日,91491
9,"这世界总有一盏灯为你而亮着
",7567,2019年3月28日,91491
10,"2018年，是让人心力交瘁的一年。
六月五号跟在一起了一年的男朋友分手 我以为我们会一起很久
六月八号 接到爸爸电话 回家 我在后座写下“不到最后一刻 你永远不知道事情有多糟”一语成畿 我失去了世界上最爱我的女人 浑浑噩噩 后来一个人熬过所有一个人安慰自己 没有谁离不开谁 人间无非一场路过
",6432,2019年3月29日,91491
11,"路过人间，我们一直在告别，我们一直在遇见，就像顾城说的那样，告别的结果却总是相见。
",5740,2019年3月28日,91491
12,"下辈子还要路过人间，说不定还能与你相爱。
",5076,2019年3月28日,91491
13,"每次听可唯的歌，就像是躺在一个特别舒服的沙发上，可以尽情换着姿势。也像在一个特别舒服的阴天，不晒也不湿，走在路上，任由风刮起自己的衣服，打开双手，脚步轻快的走着。
因为我刚刚就是这么走过来的，下次要光着脚丫，踩着最细软的沙上，再听着可唯这首歌，感受海风。
",4585,2019年4月14日,91491
14,"上帝让我们在人间相遇，是有原因的。让我们相爱再分别，同样有他的用意！
",3218,2019年4月11日,91491
