,1,0,time,comments_num
0,"这首歌俺整整唱了两天 也曾经一度觉得这首歌不能很好的把它演绎 后来出来听着感觉还ok 俺唱功有待提高 也谢谢大家喜欢 我会加油的
",70863,4月9日 20:03,64533
1,"感同身受这个词是不存在的，无论多么靠近，你也不是我。
",42727,4月9日 20:59,64533
2,"我家高鱼真争气！单曲循环 走起 ～
",36575,4月9日 20:19,64533
3,"你已经是个长大的人了，别再因为一点感情问题而失魂落魄。
你可以有一段糟糕的爱情，但绝不能放纵自己过一个烂透的人生。
我想爱自由胜过爱你。
",17817,4月11日 12:43,64533
4,"如果你喜欢一个人
一定要告诉她
不是为了要她报答
而是让她在以后黑暗的日子里
否定自己的时候
想起世界上还有人这么喜欢她
她并非一无是处
",13472,4月10日 21:08,64533
5,"明年高考
她和大学
我都要。
",10540,4月18日 09:13,64533
6,"太阳不是突然就落山的
我也不是突然就不爱你的
",9044,4月9日 20:30,64533
7,"其实我说不出来什么感觉 只是突然有点想她 她说过她爱我 但她离开的时候洒脱的让我没办法接受 我知道不是她变了 只是她爱自由胜过爱我 ．她说不是我的错 我想现在我懂了
",6784,4月10日 20:56,64533
8,"偏偏我也是女生
",6525,4月9日 20:00,64533
9,"我的男朋友，苏俊锋，他死了
",6510,5月4日 07:11,64533
10,"有时候以自己为中心也挺好的
",4674,4月9日 21:50,64533
11,"好家伙，连名带姓说出来
",4228,5月5日 17:55,64533
12,"我觉得过活这个名字不是最适合的
",3984,4月12日 21:34,64533
13,"分都分了 她的iPhone11我还在分期...
",3928,8月26日 09:56,64533
14,"分手就分手，你去蚂蚁庄园揍我鸡算什么事
",3865,8月14日 15:08,64533
