,1,0,time,comments_num
0,"还是喜欢刚认识你时候的自己 热情又虚伪 新鲜又浪漫
",36.7万,2019年2月24日,244066
1,"把你还回人海了，要乖啊你，真的别这样对下一个女孩子了
",26.9万,2019年3月4日,244066
2,"在我最想放弃的时候，求你别再对我笑了
",20.4万,2019年3月14日,244066
3,"凭什么要把我教给你的东西，都给下一个女孩子。
",11.2万,2019年3月26日,244066
4,"其实失去了你我还能活 就是不想睡 不想醒 不想做梦 不想吃东西 不想做任何事 不想去任何地方 浑身无力 想逃避却发现无处可逃 想做些什么却发现什么都做不了 想倾诉些什么还是一句话也说不出口 想不去想你 可哪里都是你 想用尽全力的哭一场 却流不出一滴眼泪 我多久才能得到时光的救赎啊
",10.8万,2019年5月25日,244066
5,"别聊，别习惯，别喜欢，别答应，别在一起。
",10.7万,2019年5月29日,244066
6,"你是例外 也再无例外
",79578,2019年5月31日,244066
7,"如果他不喜欢你了，别再浪费自己啦。
你被他爱过的呀，也被担心过，被紧张过，以前你的小情绪他是在乎的，以前你难过他是有耐心安慰的，以前你们吵架他眼神不会流露出厌恶。
你见过他爱一个人是什么样子的。所以，很多问题，不必猜不必问，你心里有答案。
",64371,2019年3月21日,244066
8,"是一种什么感觉呢
我忙忙碌碌假装一天很充实
和这个玩和那个开心
可是总是突然有那么一瞬间
好像心脏漏掉一拍
好想问问你到家了没 累不累
好想告诉你别打游戏了早点睡吧
可是 我不能再打扰了
就像你来到了一个只有饮料的王国
渴不死 也能活
只是好想念白开水的味道
",62194,2019年5月1日,244066
9,"希望你不要把我的故事讲给下一任听，不要把你对于我的亏欠弥补到任何人身上，因为没有人能配的上这份亏欠。
",59678,2019年5月29日,244066
10,"人这一辈子 做过最无用的事就是频频回头.
",41909,2019年6月10日,244066
11,"嘻嘻嘻，我把歌推到我们学校表白墙了，马上就999+了应该，作者小姐姐加油orz
",24675,2019年3月13日,244066
12,"你应该会回来的 对吧
",22866,2019年10月11日,244066
13,"三年两次重蹈覆辙结果是一败涂地以后你要认真生活认真恋爱别对我笑别对我哭我努力了那就分开
",21812,4月2日 23:09,244066
14,"河农大考研狗前来报道
从大一认识 到慢慢相熟 到表白失败 到看着她找到另一半
嗯 时间会冲淡一切的
祝自己复试顺利吧
真的想去成都吃火锅啊 hahahahahah a
",16670,2019年3月13日,244066
