,1,0,time,comments_num
0,"别对我失望，也别对这个世界失望，人生就是这样，在这一路上的风景有好有坏，有那么多走散的身影，但是庆幸的是能够彼此陪伴一场！我多想能多你陪一场！
",32.7万,2019年4月3日,170595
1,"这一生要错过多少风景才不会错过你
",20.1万,2019年4月3日,170595
2,"我多想久别重逢这个词发生在你我身上.
",16.2万,2019年4月3日,170595
3,心理学上说,12.9万,2019年4月3日,170595
4,"你说枯木逢春 我说生不逢时
你说生不逢时 我说时不逢人
你说时不逢人 我说逢人不是你
假如有下辈子
我希望枯木逢春
我逢你
",11.2万,2019年4月4日,170595
5,"所有的不合时宜的相遇啊 都遗憾的令人心疼
",69079,2019年4月3日,170595
6,"“其实我不用看到你的脸才能喜欢你，也不用听到你的声音，不用知道你有什么消息。我所知道的是，在生活中不多见的闪光的时刻我会想到你，烟花升起来，雪落下去，人们围上来拥抱我，这样的时刻。我猜你和世界上所有的美好连在一起。所以我想尽量去看一些好的东西，这就是我喜欢你的方式”
",54596,2019年4月3日,170595
7,"我会尽力，把这首歌留在这里！
",51803,2019年5月10日,170595
8,"我多想多想，能陪你一场
把前半生的风景对你讲
也想后半生你依然在场
愿有人陪你走过山高水长
愿以后的日子，不再是一个人走向远方
枯木啊，总会遇到春和阳光
希望，所有的你们
也会遇到那丝属于自己的光
哪怕谣言纷纷
只身一人
也要不顾万人抵挡
到达心之向往的地方
",36422,2019年4月3日,170595
9,"若逢新雪初霁，满月当空，下面平铺着皓影，上面流转着亮银，而你带笑地向我走来，月色和雪色之间，你是第三种绝色。
——余光中《绝色》
",29055,2019年4月3日,170595
10,"我也想 能够把你照亮
",22845,2019年4月3日,170595
11,"我现在发现，很多人其实就是来我的世界转一圈看一看，觉得有意思就跟我多玩一会儿，觉得无聊就转身离开。我限制不了任何人的行为，不能留下任意一个，我只能把我的世界装扮得漂亮点，等下次有人来让他们愿意多玩一会儿。
",20864,2019年4月3日,170595
12,"山河远阔，人间烟火，无一是你，无一不是你。
",12239,3月3日 13:45,170595
13,"我的运气只到遇见你，剩下的，就要我自己努力了
",11723,2019年5月2日,170595
14,"又一次失眠
羡慕早睡的人
早睡的人
就像早早躲进船舱
完美避开了
每晚不定时的情绪的惊涛骇浪
你不知道你离开以后
我活的像一条狗
晚安啊你
",8762,2019年4月4日,170595
