,1,0,time,comments_num
0,"保持纯真，简单就够
",14.1万,2019年4月15日,61452
1,"我爱你 但你让我的生活太糟心
",91052,2019年4月15日,61452
2,“我向往,90701,2019年4月15日,61452
3,"追……
对于高三考生鸭
追梦的过程才叫真实！！！
",54947,2019年4月15日,61452
4,"“想要穿白衬衣，想要变干净，想要让你想到我就联想起盛夏白瓷和碎冰碰壁，想你想我时，嗅到凌晨四点挂着露水的蔷薇花。”
",40850,2019年4月15日,61452
5,看到的一个很暖的评论,38912,2019年6月2日,61452
6,"月亮明明就是十几年前的月亮 它多委屈啊
",29184,2019年4月15日,61452
7,"“爱太熟悉 让人差点忘记
你追世界 我追逐你背影”
",25263,2019年4月15日,61452
8,"我不管别人怎么诠释，这是我唱给我逝去的朋友的，我希望他快乐 就这样
",24895,2月28日 23:50,61452
9,"昨天晚上我失眠了在我数的两万三千七百五十二只羊里总觉得有一只是你扮的今天晚上我要去把你找来☺️
",20427,2019年4月15日,61452
10,"喜欢所有形态的月亮
因为晚上一个人回家的时候看着月亮走路
就会觉得是和月亮一起回家
所以喜欢 
",10899,2019年4月15日,61452
11,"女孩子输就输在她根本没想赢 她只想被爱
",5273,2019年7月8日,61452
12,"我感觉这歌有点让你坚持舔到最后的感觉。。。
",3563,4月4日 16:29,61452
13,"你再等等吧，我就要不喜欢你了
",3133,2019年5月18日,61452
14,"月亮依旧是以前的月亮而人却不是以前的人它见证着人的悲欢离合，可它只是月亮啊如几十年以前那么明亮
",2644,2019年4月26日,61452
