,1,0,time,comments_num
0,"这歌我听了十年……好可怕的数字……
",54.6万,2014年10月25日,291378
1,"暗恋四年，表白，花了三个星期做视频，背景音乐就是遇见。十动然拒。今年是第六年，我们都要大学毕业了，她想回家乡去考公务员，她说不想在外面漂，但我不可能回去了。这辈子就这样了，应该是不可能了，我没有别的奢望，只希望她健康，幸福。
",33.4万,2015年6月18日,291378
2,"1万评论，希望有2万人幸福
",33万,2016年2月29日,291378
3,"那天我约你跑步，可能也就我这种傻子才会约女生晨跑，一夜没睡，五点就在你家楼下站，你八点才下来，说睡过头了。我笑着说，没关系。
",31.9万,2016年1月19日,291378
4,"“嘴上说着单身挺好，可是看到两个人，还是会沉默”
",18.1万,2015年11月30日,291378
5,"从初中听到大学，总是在遇见，总是在离开
",16.7万,2014年10月30日,291378
6,"校服是我和她唯一穿过的情侣装，毕业照是我和她唯一的合影，我们能遇见，却从没再见
",16.5万,2015年11月29日,291378
7,"我羡慕那些一听什么歌就能回忆起什么刻骨铭心，然后热泪盈眶的人。我没有什么轰轰烈烈的故事，导致我听一首歌回想起的都是“啊，这是前年大雪去吃烤鸭堵在路上听的歌，好饿啊。。”“啊，这是高中在那家麻辣香锅的店里循环放的歌，不知道还在不在，好饿啊。。。”
",11.9万,2015年11月9日,291378
8,"每首歌里都藏着一段旧时光。
",78025,2014年10月18日,291378
9,"今天下班有点晚，可地铁还是那么挤，在车尾无意看到一个满脸泪水的姑娘，她没有表情没有声音，但是眼泪一直在流，很想给她一个拥抱，我知道在这繁盛生命里的孤独，望你开心。
",73020,2017年5月23日,291378
10,"我排着队拿着爱的号码牌。可特么的为毛前面老有人插队
",69157,2015年5月7日,291378
11,"“根据北宋哲学家邵雍的计算，世界上的事物将在十二万九千六百年后，完全重现。也就是说，在十二万九千六百年之后，我还会遇见你”
",60978,2018年1月13日,291378
12,"高一的时候特别喜欢听，那时候一人在外读书，没什么事，可是每天都必须和妈妈哭半个小时才能写zuoye
",45976,2014年10月19日,291378
13,"这首怎么听都不会腻，好淡
",41393,2014年10月10日,291378
14,"安微的一个舍友，浑浑噩噩混到大三，突然有一天开始考研。每天6点出，晚上11点回宿舍，一年以后，他考上了中科大的研究生。走的那天，他哭着和我吃了散伙饭。他说，他在高三暗恋的女孩子高考去了中科大，他这么拼命为的就是和她再重逢。现在的他们，有了一个孩子。这是我亲眼看见过得最好的爱情。
",35200,2017年11月10日,291378
