,1,0,time,comments_num
0,"回顾皆如草木 唯你是青山。
",10.6万,6月21日 09:01,98451
1,"满地都是六便士，他却抬头看到了月亮
",81410,6月22日 12:53,98451
2,"谢谢大家的支持，这首歌是我和几个小伙伴也是制作人，也是老板的几位志同道合的朋友们一起合作得来的，自己也非常喜欢，后面会带来更多好作品的～
",72401,6月21日 18:59,98451
3,"我感觉大家文学功底都惊人的好啊，下次写歌我来征集一下名句吧让你们多些参与感
",46716,7月21日 19:49,98451
4,"我喜欢上我的老师了，他19大一，而我才15我才初三，我们差了四岁唉，我不明白为什么觉得我们有可能，可能就是我喜欢，我也知道可能也是新鲜感，我一开始也是这么觉得的，可是越来越喜欢，我们班同学都在自习室上自习，有的在上课，那天我跟我的另一个同学要补课，找他，再晚一点就没有公交车了，可是他
",13952,6月27日 02:27,98451
5,"英雄被人铭记，刻在石碑上;幸存者被人遗忘，面目全非。
“真遗憾，阿瓒棺木上应该盖着国旗呢”
“冉冉 好好活着”
“我尽量。”
——《白色橄榄树》
救命 真的意难平。[多多大哭]
",11664,6月29日 22:02,98451
6,"那日桥边，惊鸿一瞥
再至桥边
无处有你，无一不是你
",8457,7月14日 23:01,98451
7,"“开始淮河任务，见到宋记者了，好巧”
“排雷的时候逗了宋记者一下”
“宋记者做事很认真”
“宋记者喜欢脸红”
“宋记者有点可爱”
新年愿望:跟她结婚
——李瓒
",7881,7月10日 00:01,98451
8,"她是尚书府的千金小姐，他是将军府的铁血将军
他们自小便是青梅竹马
他处处维护着她，容不得别人说她半句不好
把所有的温柔都给了她
若不是亲眼所见，没有人会相信手上沾满鲜血的将军竟会对一女子温柔的春风一般
可是只有她知道
他不爱她
所有人都以为待她及笄之时
会嫁给他
可是她没有
在她及笄的时候
",6937,7月28日 14:14,98451
9,"也许是前世的姻 也许是来生的缘 错在今生相见 徒增一段无果的恩怨
",5471,7月21日 20:06,98451
10,"“他其实并不喜欢你，只是他寂寞的时候你刚好撞上去还满怀深情，刚好他暂时接受你的温柔，仅此而已”
",5009,6月26日 07:02,98451
11,"他嘴笨，但磕磕绊绊说出来的都是诗。他不羁，摇摇晃晃走出来的都是人间。
",4589,7月21日 23:43,98451
12,"其实古人早已知道3与4之间有个数字，不然“不三不四”是怎么来的呢？
",4424,8月11日 11:23,98451
13,"“只要有想见的人，就不是孤身一人” ——《夏目友人帐》
",3438,7月22日 12:08,98451
14,"《月亮与六便士》月亮指；远大理想的象征，而六便士则是蝇头小利的象征，
",3162,6月27日 14:27,98451
