,1,0,time,comments_num
0,"床单，纸伞，扭胯，摇
",66692,8月15日 00:15,30042
1,"可以呐，原唱亲自改的DJ版
",46087,8月15日 02:43,30042
2,"既然大家喜欢我肯定要发的～有人喜欢就好，当然不喜欢的朋友也不要怀疑六一哦，六一初心是不会变的，所有的作品质量一如既往而已会越来越好，只是以前的经历让六一太想抓住任何一个让更多人看见我的机会了，所以喜欢的朋友尽情摇，有所担心的朋友请放心，后面的作品不会让你们失望的
",43667,8月16日 02:21,30042
3,"这首歌完美的响应了云音乐的网愈云计划
",17926,8月15日 02:22,30042
4,"听到这首歌就想起那把撑着伞，摇的男人。
",13933,8月15日 02:19,30042
5,"好家伙把原唱逼得出dj版
",8552,8月17日 15:37,30042
6,"擦，是辣个男人！
",7466,8月15日 00:42,30042
7,"婚礼放这个歌，想着活跃气氛，唢呐一出，叔叔婶婶们都把筷子放下了…
",7202,8月18日 19:23,30042
8,"“你有暗恋过你的老师吗？”
“不，没有，我只想过暗杀”
",6229,9月4日 20:22,30042
9,"抒情版是一个痴情的男人对隔岸爱而不得的人唱出心中的悲凉，DJ版我看到的是一个风骚的男人对隔岸的人摇头晃脑，花枝乱颤又唱又跳
",6198,8月16日 07:49,30042
10,"我竟然觉得DJ的比原版好听
",4088,8月20日 00:14,30042
11,"一听这个满脑子都是扭胯的男人
",3814,8月24日 15:40,30042
12,是一首抒情诗歌，却让原作者自己搞了一首电子，真是土嗨至极就是潮呀！@终极姚六一 你的01,3793,8月15日 15:55,30042
13,"昨天晚上起来上厕所，碰到一只女鬼，我给她请到客厅，给了她一杯茶，花了两个小时给他讲唯物主义，让她相信自己是不存在的。
",3317,9月26日 18:45,30042
14,"中间那段唢呐差点没有给我送走
",2790,8月20日 17:51,30042
