,1,0,time,comments_num
0,"早上4:50起床，穿上衣服出去晨跑，6:10之前回来，正好不误网课。路上有风，还有点冷。下雨了，我冲刺般跑回家，最后还是被淋湿了。6:08回到了家，还好没有耽误网课。
",85490,5月5日 09:11,54534
1,"你不能同时帮两个女孩撑伞
我已经浑身湿透了。
",79054,5月5日 10:56,54534
2,"有授权的就不用标在歌名后面，里面一开始就写了，本作品经过词曲著作权利方授权，歌词里也写了原唱杨丞琳表示尊重，而且没看到这是网易云年少如也计划吗，有些人是自己没文化还在这里觉得自己是正义的化身，无jbd语。
",40651,5月11日 15:36,54534
3,"从《足够》开始喜欢周星星 然后就一发不可收拾了 她发的每一个作品每一首歌我都会去听 想成为像她唱歌时那种认真又帅气的人 一直喜欢下去吧！
",13767,5月5日 07:35,54534
4,"雨总能引起太多思念，喜欢有你打伞等候的公交站，也喜欢雨夜下班坐在公交车上痴看窗外的灯火阑珊，但终点已不是有你等候的站台。忽然想起某手上的一段文字，如果撑伞不够有诚意，那我就淋雨爱你。如今，常忘带伞的我经常淋雨，因为没有了你
",10049,5月23日 21:48,54534
5,"怎么办啊我今天真的好开心啊啊啊啊啊啊啊啊啊啊啊他跟我表白了啊啊啊啊啊啊啊啊啊啊啊啊啊表白完了还一脸害羞脸都红了哈哈哈哈哈哈哈哈哈我的妈心要跳出来啦啊啊啊
",7483,5月27日 20:44,54534
6,"两件事
第一件 我好像喜欢上了一个女孩子
第二件 我也是个女孩子
",7313,5月26日 23:34,54534
7,"记得有一次跟一帮朋友在ktv玩真心话大冒险，我输了选大冒险，他们让我回家。
",5147,7月3日 01:32,54534
8,"我的伞下永远是你
",5092,5月5日 11:09,54534
9,"哈哈 最后一句无jbd的语！太简单粗暴啦 我喜欢
",4193,5月13日 12:55,54534
10,"朝霞 教室 他的侧脸 阳光 迷得睁不开眼
",3476,5月5日 23:51,54534
11,"怎么说呢……我俩的妈咪是闺蜜，幼儿园到小学到初中再到高中一直都一起，上高中他是学习委员(也是校草)我是纪律委员他不听话我就记他名字，结果他说""怎么了？看我被表白了不开心？宝宝不气，你最最可爱了""苏炸了，我俩父母都同意在一起，我们都被保送同一所大学，陈xx我爱你千万不要辜负我哦
",1976,6月18日 22:39,54534
12,死神,1745,7月29日 20:46,54534
13,"没看到原唱？没看到评论，眼睛当摆设？
",1737,6月17日 21:54,54534
14,"那天下雨了，我没带伞，他就叫我和他用一把伞，伞不大，我们靠得很近，那时我甚至可以听见他的心跳声，他高我一大截，我抬头看他，他低头看着我，对视几秒我匆匆忙忙躲开了，他笑着说躲什么呀，我害羞了呜呜，他声音好好听，靠近好香，很高很好看，成绩还很好，好喜欢他呀
",1685,5月5日 15:09,54534
