,1,0,time,comments_num
0,"好喜欢这次女性主题的合作，大姚每次的作品都让人惊喜和感动，无论是电视剧《都挺好》、电影《送我上青云》还是这次的歌曲《面朝大海》，总能让人感受到温暖和力量。
记得大姚之前对福禄寿的评价——
“不随波逐流，才能乘风破浪。”💋 再次表白歌手姚！！！太好听了！！！
",871,11月18日 00:01,2234
1,"自从“疫情”的时候听到三姐妹歌曲，给了自己很大的力量，后来《乐夏2》三姐妹被全网攻击时我四处征战，从来不追星的追星了，首次音乐节也去了，三姐妹的歌曲成了精神粮食。或许就是她们歌曲中独孤，而又坚定的力量吧。面朝大海，春暖花开，不忘初心，砥砺前行
",608,11月18日 00:04,2234
2,"如果你喜欢福禄寿，福禄寿就常伴你的左右～
",1009,11月18日 00:00,2234
3,"音乐人推手在此，加油，各位音乐人
",706,12:03,2234
4,"福禄寿一天发两首歌也太幸福了
",545,11月18日 00:10,2234
5,"一首精致的艺术歌曲！姚晨唱得踉踉跄跄的跟随着福禄寿的步伐。编曲的问题在于，把一首写意、泼墨、留白又随性的艺术歌曲画了个不必有的框框与模式，还是当初福禄寿自己编的那一版更为挥洒自如。
",421,11月18日 00:12,2234
6,"“希望小福星们都幸福，拥有灿烂的前程。
我只愿面朝大海，春暖花开。”
",208,11月18日 00:02,2234
7,"早上好，考研人
",158,11月18日 08:09,2234
8,"呃呃呃专业音乐人还不能在网易云说一句自己想说的话啊？姚晨的粉丝也饭圈控瓶吗不好吧不好吧见不得别人说一句不好听的话啊
",66,11月18日 01:36,2234
9,"写完这首诗之后海子还是在最爱的春天卧轨自杀了。这样清冷纯粹的心灵很难很难为世所容。读出来这首诗之后的厌世绝望的感觉后真的会被震撼到。永远都是“从明天起”，明天永远到来不了。
",61,11月18日 10:07,2234
10,"此诗写于海子卧轨自杀前两个月。大海是海子诗中的核心意象，广阔浩荡，心旷神怡，生机勃勃，是安魂之乡，是搏斗之乡，是理想之乡，是海子作为“海之子”的精神归宿，是他可以找到真正的幸福感的地方。面朝大海，春暖花开，当然是一种海市蜃楼，然而这是海子所能感受到的一种明丽的幸福感受。
",58,11月18日 12:44,2234
11,"前面感慨完了，最后还是要说句实话。最后那一长串名单，和三娃自己的歌曲完全不是一帮人，编曲都不是福禄寿，这首歌确实偏于流俗和普通了。但想到它是首商业歌曲也能理解。只希望三娃今后自己的歌曲保持水准，加油！
",46,11月18日 00:15,2234
12,"了解海子的人都知道，这首诗其实是非常绝望的。所有的幸福和祝福都在明天，明天遥不可及，而诗的背后是当下的痛苦。这不是一个身处幸福或者充满希望的人写的诗。
",43,11月18日 13:12,2234
13,"理解你的善意，根本不存在你想象的那些问题。福禄寿是优秀唱作人，姚晨是好演员。我三分之二篇幅说的是编曲，这才是重点呀
",41,11月18日 02:07,2234
14,"这首是我最开始接近海子的诗，高中时候认为这是光明的，后来了解后，觉得这是一个人的渴望，并不拥有这样一个东西，就像顾城的黑夜眼睛，到最后的死亡，一个充满矛盾的事物
",31,11月18日 11:58,2234
