,1,0,time,comments_num
0,"网易云音乐的朋友们 欢迎收听我的新歌《麻雀》
",64.5万,2019年12月5日,185679
1,"麻雀虽小，五脏俱全
眼睛虽小，可爱迷人
",22.1万,2019年12月5日,185679
2,"我在电动车论坛等得好辛苦。
",21.7万,2019年12月5日,185679
3,"我在电动车论坛等的好辛苦，你却在这里发了新专辑
",90593,2019年12月5日,185679
4,"在某个明天，我留守人间摭拾人间烟火，你千里赴约飞跃雪山之巅。
",64041,2019年12月5日,185679
5,"去吃饭
",95726,2019年12月5日,185679
6,李荣浩,32371,2019年12月5日,185679
7,"没欠费
",90924,2019年12月5日,185679
8,"修车论坛？？
",25381,2019年12月5日,185679
9,"谢谢喜欢
",74324,2019年12月5日,185679
10,"好好上课
",93110,2019年12月5日,185679
11,"从前有两只小鸟，一只用心的衔树枝建窝，只为另一只能栖身舒适。苦辣酸甜，年复一年。渐渐的筑窝那只发现另一只好像太漂亮，他俩好像不一样。原来，她是要飞上枝头的凤凰，而他，只是一只麻雀...没关系——我留在你回忆里面！你成仙我替你留守人间！麻雀也有明天！
",17260,2019年12月7日,185679
12,"看到了
",84396,2019年12月5日,185679
13,"加油
",86303,2019年12月5日,185679
14,"回来
",89962,2019年12月5日,185679
